Mach, Specific Range
   0.410337,    0.145882
   0.412936,    0.145670
   0.415534,    0.145466
   0.418132,    0.145263
   0.420730,    0.145086
   0.423328,    0.144918
   0.425926,    0.144757
   0.428524,    0.144605
   0.431122,    0.144389
   0.433720,    0.144114
   0.436318,    0.143847
   0.438916,    0.143586
   0.441514,    0.143333
   0.444112,    0.143037
   0.446710,    0.142669
   0.449308,    0.142306
   0.451906,    0.141950
   0.454504,    0.141600
   0.457103,    0.141256
   0.459701,    0.140827
   0.462299,    0.140375
   0.464897,    0.139929
   0.467495,    0.139489
   0.470093,    0.139054
   0.472691,    0.138625
   0.475289,    0.138143
   0.477887,    0.137615
   0.480485,    0.137092
   0.483083,    0.136574
   0.485681,    0.136061
   0.488279,    0.135560
   0.490877,    0.135064
   0.493475,    0.134511
   0.496073,    0.133919
   0.498671,    0.133332
   0.501269,    0.132756
   0.503868,    0.132189
   0.506466,    0.131625
   0.509064,    0.131066
   0.511662,    0.130512
   0.514260,    0.129887
   0.516858,    0.129250
   0.519456,    0.128617
   0.522054,    0.127990
   0.524652,    0.127366
   0.527250,    0.126747
   0.529848,    0.126133
   0.532446,    0.125523
   0.535044,    0.124918
   0.537642,    0.124233
   0.540240,    0.123549
   0.542838,    0.122866
   0.545436,    0.122187
   0.548034,    0.121513
   0.550633,    0.120843
   0.553231,    0.120178
   0.555829,    0.119515
   0.558427,    0.118850
   0.561025,    0.118190
   0.563623,    0.117473
   0.566221,    0.116746
   0.568819,    0.116024
   0.571417,    0.115295
   0.574015,    0.114571
   0.576613,    0.113852
   0.579211,    0.113139
   0.581809,    0.112432
   0.584407,    0.111720
   0.587005,    0.111007
   0.589603,    0.110299
   0.592201,    0.109597
   0.594799,    0.108836
   0.597398,    0.108075
   0.599996,    0.107306
   0.602594,    0.106544
   0.605192,    0.105788
   0.607790,    0.105039
   0.610388,    0.104297
   0.612986,    0.103546
   0.615584,    0.102800
   0.618182,    0.102060
   0.620780,    0.101328
   0.623378,    0.100601
   0.625976,    0.099874
   0.628574,    0.099148
   0.631172,    0.098375
   0.633770,    0.097609
   0.636368,    0.096850
   0.638966,    0.096097
   0.641564,    0.095343
   0.644163,    0.094596
   0.646761,    0.093856
   0.649359,    0.093122
   0.651957,    0.092393
   0.654555,    0.091665
   0.657153,    0.090941
   0.659751,    0.090223
   0.662349,    0.089508
   0.664947,    0.088796
   0.667545,    0.088087
