V (EAS), 
  59.683793,    0.000000
  59.683793,    1.000000
  63.537634,    1.133311
  67.391475,    1.274961
  71.245317,    1.424950
  75.099158,    1.583278
  78.952999,    1.749945
  82.806840,    1.924950
  86.660681,    2.108295
  90.514522,    2.299978
  94.368363,    2.500000
 147.110653,    2.718603
 183.888316,    2.500000
 183.888316,   -0.031896
 147.110653,   -1.000000
  76.099790,   -1.000000
  76.099790,   -1.000000
  76.099790,   -1.000000
  76.099790,   -1.000000
  76.099790,   -1.000000
  76.099790,   -1.000000
  76.099790,   -1.000000
  76.099790,   -1.000000
  76.099790,   -1.000000
  76.099790,   -1.000000
  76.099790,   -1.000000
  76.099790,    0.000000
