Time, Altitude
   2.059099, 1481.036848
   2.059126, 1480.089244
   2.059154, 1479.141639
   2.059182, 1478.194034
   2.059210, 1477.246682
   2.059238, 1476.299378
   2.059265, 1475.352074
   2.059293, 1474.404770
   2.059321, 1473.457466
   2.059349, 1472.510163
   2.059376, 1471.562859
   2.059404, 1470.615555
   2.059432, 1469.668251
   2.059460, 1468.720947
   2.059488, 1467.774562
   2.059515, 1466.828354
   2.059543, 1465.882146
   2.059571, 1464.935938
   2.059599, 1463.989730
   2.059626, 1463.043522
   2.059654, 1462.097315
   2.059682, 1461.151107
   2.059710, 1460.204899
   2.059738, 1459.258691
   2.059765, 1458.312470
   2.059793, 1457.366247
   2.059821, 1456.420023
   2.059849, 1455.473800
   2.059876, 1454.527577
   2.059904, 1453.581353
   2.059932, 1452.635130
   2.059960, 1451.688907
   2.059988, 1450.742683
   2.060015, 1449.796460
   2.060043, 1448.850139
   2.060071, 1447.903799
   2.060099, 1446.957459
   2.060126, 1446.011119
   2.060154, 1445.064779
   2.060182, 1444.118439
   2.060210, 1443.172100
   2.060238, 1442.225760
   2.060265, 1441.279420
   2.060293, 1440.333080
   2.060321, 1439.387047
   2.060349, 1438.441072
   2.060376, 1437.495098
   2.060404, 1436.549124
   2.060432, 1435.603150
   2.060460, 1434.657176
   2.060488, 1433.711202
   2.060515, 1432.765227
   2.060543, 1431.819253
   2.060571, 1430.873279
   2.060599, 1429.926959
   2.060626, 1428.980572
   2.060654, 1428.034185
   2.060682, 1427.087798
   2.060710, 1426.141411
   2.060738, 1425.195024
   2.060765, 1424.248637
   2.060793, 1423.302250
   2.060821, 1422.355863
   2.060849, 1421.409477
   2.060876, 1420.463209
   2.060904, 1419.516964
   2.060932, 1418.570720
   2.060960, 1417.624475
   2.060988, 1416.678230
   2.061015, 1415.731986
   2.061043, 1414.785741
   2.061071, 1413.839496
   2.061099, 1412.893252
   2.061126, 1411.947007
   2.061154, 1411.001036
   2.061182, 1410.055119
   2.061210, 1409.109201
   2.061238, 1408.163283
   2.061265, 1407.217365
   2.061293, 1406.271447
   2.061321, 1405.325530
   2.061349, 1404.379612
   2.061376, 1403.433694
   2.061404, 1402.487776
   2.061432, 1401.542759
   2.061460, 1400.597916
   2.061488, 1399.653072
   2.061515, 1398.708229
   2.061543, 1397.763385
   2.061571, 1396.818542
   2.061599, 1395.873699
   2.061626, 1394.928855
   2.061654, 1393.984012
   2.061682, 1393.039168
   2.061710, 1392.094929
   2.061738, 1391.150806
   2.061765, 1390.206684
   2.061793, 1389.262561
   2.061821, 1388.318438
   2.061849, 1387.374316
   2.061876, 1386.430193
   2.061904, 1385.486070
   2.061932, 1384.541948
   2.061960, 1383.597825
   2.061988, 1382.654219
   2.062015, 1381.710714
   2.062043, 1380.767208
   2.062071, 1379.823702
   2.062099, 1378.880196
   2.062126, 1377.936690
   2.062154, 1376.993184
   2.062182, 1376.049679
   2.062210, 1375.106173
   2.062238, 1374.162667
   2.062265, 1373.218915
   2.062293, 1372.275115
   2.062321, 1371.331316
   2.062349, 1370.387516
   2.062376, 1369.443716
   2.062404, 1368.499917
   2.062432, 1367.556117
   2.062460, 1366.612317
   2.062488, 1365.668518
   2.062515, 1364.724718
   2.062543, 1363.781028
   2.062571, 1362.837358
   2.062599, 1361.893689
   2.062626, 1360.950019
   2.062654, 1360.006350
   2.062682, 1359.062681
   2.062710, 1358.119011
   2.062738, 1357.175342
   2.062765, 1356.231672
   2.062793, 1355.288003
   2.062821, 1354.344742
   2.062849, 1353.401561
   2.062876, 1352.458379
   2.062904, 1351.515197
   2.062932, 1350.572016
   2.062960, 1349.628834
   2.062988, 1348.685652
   2.063015, 1347.742471
   2.063043, 1346.799289
   2.063071, 1345.856107
   2.063099, 1344.912573
   2.063126, 1343.968970
   2.063154, 1343.025367
   2.063182, 1342.081764
   2.063210, 1341.138161
   2.063238, 1340.194558
   2.063265, 1339.250956
   2.063293, 1338.307353
   2.063321, 1337.363750
   2.063349, 1336.420147
   2.063376, 1335.476555
   2.063404, 1334.532966
   2.063432, 1333.589377
   2.063460, 1332.645787
