eta, basic load
   0.000000, -29658.509964
   0.020408, -28491.033432
   0.040816, -27354.970873
   0.061224, -26233.319816
   0.081633, -25127.268023
   0.102041, -24037.751742
   0.122449, -22965.554748
   0.142857, -21911.353333
   0.163265, -20875.741747
   0.183673, -19859.248090
   0.204082, -18862.344484
   0.224490, -17885.453061
   0.244898, -16928.947817
   0.265306, -15993.150214
   0.285714, -15078.649877
   0.306122, -14328.053318
   0.326531, -13920.939994
   0.346939, -13521.725699
   0.367347, -13129.499843
   0.387755, -12744.161426
   0.408163, -12365.604312
   0.428571, -11993.722106
   0.448980, -11628.410155
   0.469388, -11269.566307
   0.489796, -10917.091003
   0.510204, -10570.888475
   0.530612, -10230.862739
   0.551020, -9896.917709
   0.571429, -9568.959097
   0.591837, -9246.891718
   0.612245, -8930.618233
   0.632653, -8620.037619
   0.653061, -8315.043283
   0.673469, -8015.520678
   0.693878, -7721.344243
   0.714286, -7432.373396
   0.734694, -7148.447178
   0.755102, -6869.376972
   0.775510, -6594.936366
   0.795918, -6324.846750
   0.816327, -6058.756288
   0.836735, -5796.208328
   0.857143, -5536.592185
   0.877551, -5279.063050
   0.897959, -5022.404004
   0.918367, -4764.769259
   0.938776, -4503.150017
   0.959184, -4232.047595
   0.979592, -3938.898293
   1.000000,    0.000000
