eta, basic load
   0.000000, -27998.119500
   0.020408, -27020.049401
   0.040816, -26061.752259
   0.061224, -25118.339587
   0.081633, -24190.173680
   0.102041, -23277.545041
   0.122449, -22380.701178
   0.142857, -21499.859999
   0.163265, -20635.217742
   0.183673, -19786.954365
   0.204082, -18955.237604
   0.224490, -18140.226337
   0.244898, -17342.073687
   0.265306, -16560.930216
   0.285714, -15797.044669
   0.306122, -15131.997369
   0.326531, -14668.115961
   0.346939, -14212.615693
   0.367347, -13765.135006
   0.387755, -13325.576532
   0.408163, -12893.855114
   0.428571, -12469.893958
   0.448980, -12053.622804
   0.469388, -11644.976758
   0.489796, -11243.895446
   0.510204, -10850.322927
   0.530612, -10464.205631
   0.551020, -10085.492384
   0.571429, -9714.134978
   0.591837, -9350.087029
   0.612245, -8993.303530
   0.632653, -8643.740392
   0.653061, -8301.353933
   0.673469, -7966.100300
   0.693878, -7637.934772
   0.714286, -7316.810897
   0.734694, -7002.679384
   0.755102, -6695.486623
   0.775510, -6395.172666
   0.795918, -6101.668381
   0.816327, -5814.891315
   0.836735, -5534.739490
   0.857143, -5261.081733
   0.877551, -4993.741909
   0.897959, -4732.471650
   0.918367, -4476.899418
   0.938776, -4226.423968
   0.959184, -3979.948128
   0.979592, -3734.954654
   1.000000,    0.000000
