eta, Cl
   0.000000,    2.000000
   0.020408,    2.000000
   0.040816,    2.000000
   0.061224,    2.000000
   0.081633,    2.000000
   0.102041,    2.000000
   0.122449,    2.000000
   0.142857,    2.000000
   0.163265,    2.000000
   0.183673,    2.000000
   0.204082,    2.000000
   0.224490,    2.000000
   0.244898,    2.000000
   0.265306,    2.000000
   0.285714,    2.000000
   0.306122,    2.000000
   0.326531,    2.000000
   0.346939,    2.000000
   0.367347,    2.000000
   0.387755,    2.000000
   0.408163,    2.000000
   0.428571,    2.000000
   0.448980,    2.000000
   0.469388,    2.000000
   0.489796,    2.000000
   0.510204,    2.000000
   0.530612,    2.000000
   0.551020,    2.000000
   0.571429,    2.000000
   0.591837,    2.000000
   0.612245,    2.000000
   0.632653,    2.000000
   0.653061,    2.000000
   0.673469,    2.000000
   0.693878,    2.000000
   0.714286,    2.000000
   0.734694,    2.000000
   0.755102,    2.000000
   0.775510,    2.000000
   0.795918,    2.000000
   0.816327,    2.000000
   0.836735,    2.000000
   0.857143,    2.000000
   0.877551,    2.000000
   0.897959,    2.000000
   0.918367,    2.000000
   0.938776,    2.000000
   0.959184,    2.000000
   0.979592,    2.000000
   1.000000,    2.000000
