eta, cCl_add.
   0.000000,    3.951707
   0.020408,    3.915218
   0.040816,    3.903165
   0.061224,    3.885651
   0.081633,    3.863638
   0.102041,    3.837776
   0.122449,    3.808555
   0.142857,    3.776372
   0.163265,    3.741562
   0.183673,    3.704422
   0.204082,    3.665226
   0.224490,    3.624243
   0.244898,    3.581756
   0.265306,    3.538101
   0.285714,    3.492576
   0.306122,    3.446942
   0.326531,    3.405981
   0.346939,    3.362458
   0.367347,    3.318518
   0.387755,    3.273990
   0.408163,    3.228783
   0.428571,    3.182840
   0.448980,    3.136124
   0.469388,    3.088605
   0.489796,    3.040256
   0.510204,    2.991042
   0.530612,    2.940928
   0.551020,    2.889883
   0.571429,    2.837858
   0.591837,    2.784796
   0.612245,    2.730623
   0.632653,    2.675248
   0.653061,    2.618560
   0.673469,    2.560418
   0.693878,    2.500646
   0.714286,    2.439022
   0.734694,    2.375264
   0.755102,    2.309009
   0.775510,    2.239790
   0.795918,    2.166988
   0.816327,    2.089778
   0.836735,    2.007036
   0.857143,    1.917193
   0.877551,    1.817991
   0.897959,    1.706062
   0.918367,    1.576118
   0.938776,    1.419240
   0.959184,    1.218545
   0.979592,    0.934054
   1.000000,    0.000000
