Cl, Efficiency
   0.148973,    0.917462
   0.230405,    1.424958
   0.312082,    1.938036
   0.394001,    2.456264
   0.476162,    2.979116
   0.558563,    3.505729
   0.641203,    4.035174
   0.724083,    4.566510
   0.807203,    5.098077
   0.891773,    5.636571
   0.974375,    6.157918
   1.057216,    6.674662
   1.140298,    7.185213
   1.223621,    7.687134
   1.307187,    8.178411
   1.390996,    8.657179
   1.475049,    9.121688
   1.559349,    9.569858
   1.643897,    9.999326
   1.728694,   10.407058
   1.813742,   10.792807
   1.899043,   11.155211
   1.984600,   11.492957
   2.070407,   11.801844
   2.155246,   12.069222
   2.235729,   12.261498
   2.308794,   12.396694
   2.372041,   12.470804
