Time, Emissions
   0.000000,    0.105134
   0.001667,  105.140018
   0.003333,  210.333629
   0.005000,  315.533841
   0.006667,  420.734053
   0.008333,  525.934265
   0.010000,  631.134477
   0.011667,  736.334689
   0.013333,  841.534901
   0.015000,  946.735113
   0.016667, 1051.935325
   0.018333, 1157.135537
   0.020000, 1262.414671
   0.021667, 1367.703659
   0.023333, 1472.992647
   0.025000, 1578.281635
   0.026667, 1683.570623
   0.028333, 1788.859611
   0.030000, 1894.148599
   0.031667, 1999.437587
   0.033333, 2104.726575
   0.035000, 2210.015563
   0.036667, 2315.359553
   0.038333, 2420.710410
   0.040000, 2526.061267
   0.041667, 2631.412125
   0.043333, 2736.762982
   0.045000, 2842.113839
   0.046667, 2947.464697
   0.048333, 3052.815554
   0.050000, 3158.166412
   0.051667, 3263.517269
   0.053333, 3368.900055
   0.055000, 3474.286828
   0.056667, 3579.673601
   0.058333, 3685.060373
   0.060000, 3790.447146
   0.061667, 3895.833919
   0.063333, 4001.220691
   0.065000, 4106.607464
   0.066667, 4211.994237
   0.068333, 4317.381009
   0.070000, 4422.777506
   0.071667, 4528.175216
   0.073333, 4633.572927
   0.075000, 4738.970638
   0.076667, 4844.368348
   0.078333, 4949.766059
   0.080000, 5055.163769
   0.081667, 5160.561480
   0.083333, 5265.959190
   0.085000, 5371.356901
   0.086667, 5476.794215
   0.088333, 5582.236475
   0.090000, 5687.678734
   0.091667, 5793.120993
   0.093333, 5898.563253
   0.095000, 6004.005512
   0.096667, 6109.447771
   0.098333, 6214.890030
   0.100000, 6320.332290
   0.101667, 6425.774549
   0.103333, 6531.327591
   0.105000, 6636.894466
   0.106667, 6742.461341
   0.108333, 6848.028216
   0.110000, 6953.595090
   0.111667, 7059.161965
   0.113333, 7164.728840
   0.115000, 7270.295714
   0.116667, 7375.862589
   0.118333, 7481.429464
   0.120000, 7587.060510
   0.121667, 7692.699569
   0.123333, 7798.338628
   0.125000, 7903.977687
   0.126667, 8009.616746
   0.128333, 8115.255804
   0.130000, 8220.894863
   0.131667, 8326.533922
   0.133333, 8432.172981
   0.135000, 8537.812040
   0.136667, 8643.468615
   0.138333, 8749.127377
   0.140000, 8854.786140
   0.141667, 8960.444902
   0.143333, 9066.103664
   0.145000, 9171.762427
   0.146667, 9277.421189
   0.148333, 9383.079951
   0.150000, 9488.738714
   0.151667, 9594.397476
   0.153333, 9700.029928
   0.155000, 9805.659095
   0.156667, 9911.288262
   0.158333, 10016.917429
   0.160000, 10122.546596
   0.161667, 10228.175762
   0.163333, 10333.804929
   0.165000, 10439.434096
   0.166667, 10545.063263
   0.168333, 10650.692430
   0.170000, 10756.254232
   0.171667, 10861.807622
   0.173333, 10967.361013
   0.175000, 11072.914404
   0.176667, 11178.467794
   0.178333, 11284.021185
   0.180000, 11389.574575
   0.181667, 11495.127966
   0.183333, 11600.681356
   0.185000, 11706.234747
   0.186667, 11811.862883
   0.188333, 11917.500351
   0.190000, 12023.137819
   0.191667, 12128.775288
   0.193333, 12234.412756
   0.195000, 12340.050225
   0.196667, 12445.687693
   0.198333, 12551.325161
   0.200000, 12656.962630
   0.201667, 12762.600098
   0.203333, 12868.445892
   0.205000, 12974.317697
   0.206667, 13080.189502
   0.208333, 13186.061307
   0.210000, 13291.933112
   0.211667, 13397.804917
   0.213333, 13503.676722
   0.215000, 13609.548527
   0.216667, 13715.420332
   0.218333, 13821.292137
   0.220000, 13927.278164
   0.221667, 14033.278454
   0.223333, 14139.278744
   0.225000, 14245.279033
   0.226667, 14351.279323
   0.228333, 14457.279613
   0.230000, 14563.279903
   0.231667, 14669.280192
   0.233333, 14775.280482
   0.235000, 14881.280772
   0.236667, 14987.307677
   0.238333, 15093.337906
   0.240000, 15199.368135
   0.241667, 15305.398364
   0.243333, 15411.428593
   0.245000, 15517.458822
   0.246667, 15623.489051
   0.248333, 15729.519281
   0.250000, 15835.549510
   0.251667, 15941.579739
   0.253333, 16047.556648
   0.255000, 16153.526899
   0.256667, 16259.497151
   0.258333, 16365.467403
   0.260000, 16471.437654
   0.261667, 16577.407906
   0.263333, 16683.378158
   0.265000, 16789.348409
   0.266667, 16895.318661
   0.268333, 17001.288913
   0.270000, 17107.133167
   0.271667, 17212.961690
   0.273333, 17318.790213
   0.275000, 17424.618736
   0.276667, 17530.447258
   0.278333, 17636.275781
   0.280000, 17742.104304
   0.281667, 17847.932826
   0.283333, 17953.761349
   0.285000, 18059.589872
   0.286667, 18165.229070
   0.288333, 18270.844629
   0.290000, 18376.460189
   0.291667, 18482.075748
   0.293333, 18587.691307
   0.295000, 18693.306866
   0.296667, 18798.922426
   0.298333, 18904.537985
   0.300000, 19010.153544
   0.301667, 19115.769103
   0.303333, 19221.365718
   0.305000, 19326.959967
   0.306667, 19432.554216
   0.308333, 19538.148466
   0.310000, 19643.742715
   0.311667, 19749.336964
   0.312642, 19811.128432
   0.314309, 19916.838136
   0.315975, 20022.547840
   0.317642, 20128.257545
   0.319309, 20234.020998
   0.320975, 20339.844055
   0.322642, 20445.667112
   0.324309, 20551.490169
   0.325975, 20657.313225
   0.327642, 20763.136282
   0.329309, 20868.959339
   0.330975, 20974.782396
   0.332642, 21080.605452
   0.334309, 21186.428509
   0.335975, 21292.298901
   0.337642, 21398.221783
   0.339309, 21504.144665
   0.340975, 21610.067546
   0.342642, 21715.990428
   0.344309, 21821.913310
   0.345975, 21927.836192
   0.347642, 22033.759074
   0.349309, 22139.681956
   0.350975, 22245.604838
   0.352642, 22351.539213
   0.354309, 22457.486335
   0.355975, 22563.433457
   0.357642, 22669.380578
   0.359309, 22775.327700
   0.360975, 22881.274822
   0.362642, 22987.221943
   0.364309, 23093.169065
   0.365975, 23199.116186
   0.367642, 23305.063308
   0.368518, 23360.772599
   0.370185, 23466.689468
   0.371852, 23572.606337
   0.373518, 23678.523207
   0.375185, 23784.440076
   0.376852, 23890.356945
   0.378518, 23996.273814
   0.380185, 24102.190683
   0.381852, 24208.107552
   0.383518, 24314.024422
   0.385185, 24419.941291
   0.386852, 24525.827240
   0.388518, 24631.713189
   0.390185, 24737.599138
   0.391852, 24843.485088
   0.393518, 24949.371037
   0.395185, 25055.238903
   0.396852, 25161.106769
   0.398518, 25266.974635
   0.400185, 25372.842501
   0.401852, 25478.710367
   0.403518, 25584.563518
   0.405185, 25690.416669
   0.406852, 25796.269820
   0.408518, 25902.122971
   0.410185, 26007.976121
   0.410185, 26007.976121
   1.605400, 90597.822087
   2.825139, 155538.830337
   4.084250, 221157.754477
   5.433948, 288877.817309
   6.920962, 360006.918247
   8.567151, 435378.308323
  10.405942, 516183.594993
  12.496124, 604202.335683
  14.982109, 703803.084253
  14.982109, 703803.084253
  15.801212, 737772.828536
  16.620315, 771737.053893
  17.439418, 805695.760301
  18.258522, 839648.947739
  19.077625, 873596.616189
  19.896728, 907538.765628
  20.715832, 941475.396040
  21.534935, 975406.507403
  22.354038, 1009332.099700
  23.173141, 1043252.172913
  23.992245, 1077166.727024
  24.811348, 1111075.762016
  25.630451, 1144979.277873
  26.449554, 1178877.274577
  27.268658, 1212769.752114
  28.087761, 1246656.710467
  28.906864, 1280538.149623
  29.725967, 1314414.069566
  30.545071, 1348284.470283
  31.364174, 1382149.351760
  32.183277, 1416008.713983
  33.002380, 1449862.556941
  33.821484, 1483710.880621
  34.640587, 1517553.685011
  35.459690, 1551390.970100
  36.278793, 1585222.735877
  37.097897, 1619048.982332
  37.917000, 1652869.709454
  38.736103, 1686684.917235
  38.736103, 1686684.917235
  39.896032, 1714855.124269
  41.058764, 1742609.431401
  42.220084, 1770125.575854
  43.376236, 1797072.358148
  44.524976, 1823471.614071
  45.661995, 1849331.930549
  46.783206, 1874252.886389
  47.900611, 1898636.264081
  49.010509, 1922648.666490
  49.010509, 1922648.666490
  49.589924, 1953722.179480
  50.174964, 1984859.143180
  50.765469, 2016040.427938
  51.364214, 2047332.632366
  51.981985, 2079037.504100
  52.628108, 2111405.498738
  53.305596, 2144510.723098
  54.016769, 2178436.773248
  54.763442, 2213267.705934
  54.763442, 2213267.705934
  56.615618, 2268769.303642
  58.468603, 2324249.523824
  60.322397, 2379708.329911
  62.177002, 2435145.685419
  64.032418, 2490561.553945
  65.888646, 2545955.899168
  67.745686, 2601328.684853
  69.603540, 2656679.874843
  71.462208, 2712009.433067
  71.462208, 2712009.433067
  72.108615, 2728797.955749
  72.744854, 2745377.981569
  73.383630, 2760218.437049
  74.025084, 2775094.898912
  74.669359, 2789963.286966
  75.316244, 2804841.075730
  75.965602, 2819782.135973
  76.616971, 2834775.595848
  77.269434, 2849787.498404
  77.269434, 2849787.498404
  82.269434, 2993440.630048
  87.269434, 3136813.152327
  92.269434, 3279905.365119
  97.269434, 3422720.235537
 102.269434, 3565265.134105
 107.269434, 3707540.342557
 112.269434, 3849546.143393
 117.269434, 3991282.819868
 122.269434, 4132750.655992
 122.269434, 4132750.655992
 122.271101, 4132795.116919
 122.272767, 4132839.578191
 122.274434, 4132884.039464
 122.276101, 4132928.504799
 122.277767, 4132972.970927
 122.279434, 4133017.437055
 122.281101, 4133061.903183
 122.282767, 4133106.369311
 122.284434, 4133150.835439
 122.286101, 4133195.301567
 122.287767, 4133239.767694
 122.289434, 4133284.233822
 122.291101, 4133328.699950
 122.292767, 4133373.172355
 122.294434, 4133417.645985
 122.296101, 4133462.119614
 122.297767, 4133506.593243
 122.299434, 4133551.066872
 122.301101, 4133595.540501
 122.302767, 4133640.014130
 122.304434, 4133684.487759
 122.306101, 4133728.961388
 122.307767, 4133773.435017
 122.309434, 4133817.914907
 122.311101, 4133862.396018
 122.312767, 4133906.877128
 122.314434, 4133951.358238
 122.316101, 4133995.839349
 122.317767, 4134040.320459
 122.319434, 4134084.801569
 122.321101, 4134129.282680
 122.322767, 4134173.763790
 122.324434, 4134218.244900
 122.326101, 4134262.732223
 122.327767, 4134307.220758
 122.329434, 4134351.709292
 122.331101, 4134396.197826
 122.332767, 4134440.686360
 122.334434, 4134485.174894
 122.336101, 4134529.663428
 122.337767, 4134574.151962
 122.339434, 4134618.640497
 122.341101, 4134663.129031
 122.342767, 4134707.623748
 122.344434, 4134752.119672
 122.346101, 4134796.615595
 122.347767, 4134841.111518
 122.349434, 4134885.607441
 122.351101, 4134930.103364
 122.352767, 4134974.599287
 122.354434, 4135019.095210
 122.356101, 4135063.591133
 122.357767, 4135108.087056
 122.359434, 4135152.589190
 122.361101, 4135197.092534
 122.362767, 4135241.595878
 122.364434, 4135286.099222
 122.366101, 4135330.602567
 122.367767, 4135375.105911
 122.369434, 4135419.609255
 122.371101, 4135464.112599
 122.372767, 4135508.615943
 122.374434, 4135553.119287
 122.376101, 4135597.628809
 122.377767, 4135642.139535
 122.379434, 4135686.650260
 122.381101, 4135731.160986
 122.382767, 4135775.671711
 122.384434, 4135820.182437
