Time, Emissions
   0.000000,    0.041561
   0.001667,   41.563891
   0.003333,   83.148968
   0.005000,  124.736655
   0.006667,  166.324341
   0.008333,  207.912028
   0.010000,  249.499714
   0.011667,  291.087401
   0.013333,  332.675087
   0.015000,  374.262774
   0.016667,  415.850461
   0.018333,  457.438147
   0.020000,  499.057033
   0.021667,  540.679815
   0.023333,  582.302596
   0.025000,  623.925377
   0.026667,  665.548159
   0.028333,  707.170940
   0.030000,  748.793722
   0.031667,  790.416503
   0.033333,  832.039285
   0.035000,  873.662066
   0.036667,  915.306591
   0.038333,  956.953831
   0.040000,  998.601070
   0.041667, 1040.248310
   0.043333, 1081.895550
   0.045000, 1123.542789
   0.046667, 1165.190029
   0.048333, 1206.837268
   0.050000, 1248.484508
   0.051667, 1290.131748
   0.053333, 1331.791609
   0.055000, 1373.453047
   0.056667, 1415.114485
   0.058333, 1456.775922
   0.060000, 1498.437360
   0.061667, 1540.098798
   0.063333, 1581.760235
   0.065000, 1623.421673
   0.066667, 1665.083111
   0.068333, 1706.744548
   0.070000, 1748.409830
   0.071667, 1790.075592
   0.073333, 1831.741353
   0.075000, 1873.407115
   0.076667, 1915.072876
   0.078333, 1956.738638
   0.080000, 1998.404400
   0.081667, 2040.070161
   0.083333, 2081.735923
   0.085000, 2123.401684
   0.086667, 2165.083102
   0.088333, 2206.766475
   0.090000, 2248.449847
   0.091667, 2290.133220
   0.093333, 2331.816593
   0.095000, 2373.499965
   0.096667, 2415.183338
   0.098333, 2456.866710
   0.100000, 2498.550083
   0.101667, 2540.233456
   0.103333, 2581.960623
   0.105000, 2623.693258
   0.106667, 2665.425894
   0.108333, 2707.158529
   0.110000, 2748.891165
   0.111667, 2790.623800
   0.113333, 2832.356436
   0.115000, 2874.089071
   0.116667, 2915.821707
   0.118333, 2957.554342
   0.120000, 2999.312346
   0.121667, 3041.073517
   0.123333, 3082.834688
   0.125000, 3124.595860
   0.126667, 3166.357031
   0.128333, 3208.118202
   0.130000, 3249.879373
   0.131667, 3291.640545
   0.133333, 3333.401716
   0.135000, 3375.162887
   0.136667, 3416.930983
   0.138333, 3458.699944
   0.140000, 3500.468904
   0.141667, 3542.237864
   0.143333, 3584.006825
   0.145000, 3625.775785
   0.146667, 3667.544746
   0.148333, 3709.313706
   0.150000, 3751.082667
   0.151667, 3792.851627
   0.153333, 3834.610187
   0.155000, 3876.367447
   0.156667, 3918.124708
   0.158333, 3959.881969
   0.160000, 4001.639230
   0.161667, 4043.396491
   0.163333, 4085.153751
   0.165000, 4126.911012
   0.166667, 4168.668273
   0.168333, 4210.425534
   0.170000, 4252.156164
   0.171667, 4293.883469
   0.173333, 4335.610774
   0.175000, 4377.338079
   0.176667, 4419.065384
   0.178333, 4460.792688
   0.180000, 4502.519993
   0.181667, 4544.247298
   0.183333, 4585.974603
   0.185000, 4627.701908
   0.186667, 4669.458761
   0.188333, 4711.219304
   0.190000, 4752.979846
   0.191667, 4794.740389
   0.193333, 4836.500931
   0.195000, 4878.261474
   0.196667, 4920.022016
   0.198333, 4961.782559
   0.200000, 5003.543102
   0.201667, 5045.303644
   0.203333, 5087.146542
   0.205000, 5128.999722
   0.206667, 5170.852902
   0.208333, 5212.706083
   0.210000, 5254.559263
   0.211667, 5296.412443
   0.213333, 5338.265624
   0.215000, 5380.118804
   0.216667, 5421.971984
   0.218333, 5463.825165
   0.220000, 5505.723500
   0.221667, 5547.627472
   0.223333, 5589.531445
   0.225000, 5631.435418
   0.226667, 5673.339391
   0.228333, 5715.243364
   0.230000, 5757.147337
   0.231667, 5799.051309
   0.233333, 5840.955282
   0.235000, 5882.859255
   0.236667, 5924.773750
   0.238333, 5966.689558
   0.240000, 6008.605367
   0.241667, 6050.521175
   0.243333, 6092.436983
   0.245000, 6134.352792
   0.246667, 6176.268600
   0.248333, 6218.184409
   0.250000, 6260.100217
   0.251667, 6302.016026
   0.253333, 6343.910756
   0.255000, 6385.802854
   0.256667, 6427.694952
   0.258333, 6469.587050
   0.260000, 6511.479149
   0.261667, 6553.371247
   0.263333, 6595.263345
   0.265000, 6637.155443
   0.266667, 6679.047542
   0.268333, 6720.939640
   0.270000, 6762.781929
   0.271667, 6804.617999
   0.273333, 6846.454069
   0.275000, 6888.290139
   0.276667, 6930.126209
   0.278333, 6971.962279
   0.280000, 7013.798349
   0.281667, 7055.634419
   0.283333, 7097.470489
   0.285000, 7139.306559
   0.286667, 7181.067785
   0.288333, 7222.819667
   0.290000, 7264.571548
   0.291667, 7306.323430
   0.293333, 7348.075311
   0.295000, 7389.827193
   0.296667, 7431.579074
   0.298333, 7473.330955
   0.300000, 7515.082837
   0.301667, 7556.834718
   0.303333, 7598.579111
   0.305000, 7640.322568
   0.306667, 7682.066025
   0.308333, 7723.809482
   0.310000, 7765.552939
   0.311667, 7807.296396
   0.312642, 7831.723763
   0.314309, 7873.512862
   0.315975, 7915.301961
   0.317642, 7957.091060
   0.319309, 7998.901407
   0.320975, 8040.735316
   0.322642, 8082.569225
   0.324309, 8124.403134
   0.325975, 8166.237044
   0.327642, 8208.070953
   0.329309, 8249.904862
   0.330975, 8291.738771
   0.332642, 8333.572680
   0.334309, 8375.406590
   0.335975, 8417.259211
   0.337642, 8459.132583
   0.339309, 8501.005955
   0.340975, 8542.879327
   0.342642, 8584.752699
   0.344309, 8626.626071
   0.345975, 8668.499443
   0.347642, 8710.372815
   0.349309, 8752.246187
   0.350975, 8794.119559
   0.352642, 8835.997475
   0.354309, 8877.880430
   0.355975, 8919.763384
   0.357642, 8961.646339
   0.359309, 9003.529293
   0.360975, 9045.412248
   0.362642, 9087.295202
   0.364309, 9129.178157
   0.365975, 9171.061111
   0.367642, 9212.944065
   0.368518, 9234.967030
   0.370185, 9276.838025
   0.371852, 9318.709020
   0.373518, 9360.580015
   0.375185, 9402.451010
   0.376852, 9444.322005
   0.378518, 9486.193000
   0.380185, 9528.063996
   0.381852, 9569.934991
   0.383518, 9611.805986
   0.385185, 9653.676981
   0.386852, 9695.535753
   0.388518, 9737.394524
   0.390185, 9779.253296
   0.391852, 9821.112068
   0.393518, 9862.970840
   0.395185, 9904.822463
   0.396852, 9946.674086
   0.398518, 9988.525710
   0.400185, 10030.377333
   0.401852, 10072.228956
   0.403518, 10114.074762
   0.405185, 10155.920568
   0.406852, 10197.766374
   0.408518, 10239.612180
   0.410185, 10281.457986
   0.410185, 10281.457986
   1.605400, 35815.078308
   2.825139, 61487.519899
   4.084250, 87427.954806
   5.433948, 114199.010638
   6.920962, 142317.725430
   8.567151, 172113.499495
  10.405942, 204057.398400
  12.496124, 238852.915751
  14.982109, 278227.025717
  14.982109, 278227.025717
  15.801212, 291655.925259
  16.620315, 305082.643063
  17.439418, 318507.179120
  18.258522, 331929.533420
  19.077625, 345349.705957
  19.896728, 358767.696722
  20.715832, 372183.505708
  21.534935, 385597.132908
  22.354038, 399008.578313
  23.173141, 412417.841917
  23.992245, 425824.923713
  24.811348, 439229.823694
  25.630451, 452632.541854
  26.449554, 466033.078185
  27.268658, 479431.432683
  28.087761, 492827.605340
  28.906864, 506221.596151
  29.725967, 519613.405110
  30.545071, 533003.032212
  31.364174, 546390.477451
  32.183277, 559775.740822
  33.002380, 573158.822320
  33.821484, 586539.721941
  34.640587, 599918.439679
  35.459690, 613294.975530
  36.278793, 626669.329490
  37.097897, 640041.501554
  37.917000, 653411.491720
  38.736103, 666779.299982
  38.736103, 666779.299982
  39.896032, 677915.529834
  41.058764, 688887.346379
  42.220084, 699765.012593
  43.376236, 710417.598889
  44.524976, 720853.737378
  45.661995, 731076.822640
  46.783206, 740928.560401
  47.900611, 750567.783081
  49.010509, 760060.352028
  49.010509, 760060.352028
  49.589924, 772344.315101
  50.174964, 784653.361472
  50.765469, 796979.928818
  51.364214, 809350.344863
  51.981985, 821883.896308
  52.628108, 834679.593113
  53.305596, 847766.731143
  54.016769, 861178.357546
  54.763442, 874947.701587
  54.763442, 874947.701587
  56.615618, 896888.560896
  58.468603, 918820.969254
  60.322397, 940744.912204
  62.177002, 962660.375324
  64.032418, 984567.344222
  65.888646, 1006465.804542
  67.745686, 1028355.741956
  69.603540, 1050237.142174
  71.462208, 1072109.990934
  71.462208, 1072109.990934
  72.108615, 1078746.819951
  72.744854, 1085301.226111
  73.383630, 1091167.946335
  74.025084, 1097048.900582
  74.669359, 1102926.663095
  75.316244, 1108808.141892
  75.965602, 1114714.633133
  76.616971, 1120641.838966
  77.269434, 1126576.335549
  77.269434, 1126576.335549
  82.269434, 1183365.207957
  87.269434, 1240043.150035
  92.269434, 1296610.280329
  97.269434, 1353067.771797
 102.269434, 1409418.538150
 107.269434, 1465662.690764
 112.269434, 1521800.341316
 117.269434, 1577831.601782
 122.269434, 1633756.584437
 122.269434, 1633756.584437
 122.271101, 1633774.160705
 122.272767, 1633791.737109
 122.274434, 1633809.313513
 122.276101, 1633826.891524
 122.277767, 1633844.469848
 122.279434, 1633862.048172
 122.281101, 1633879.626495
 122.282767, 1633897.204819
 122.284434, 1633914.783143
 122.286101, 1633932.361467
 122.287767, 1633949.939791
 122.289434, 1633967.518114
 122.291101, 1633985.096438
 122.292767, 1634002.677244
 122.294434, 1634020.258533
 122.296101, 1634037.839822
 122.297767, 1634055.421111
 122.299434, 1634073.002400
 122.301101, 1634090.583690
 122.302767, 1634108.164979
 122.304434, 1634125.746268
 122.306101, 1634143.327557
 122.307767, 1634160.908846
 122.309434, 1634178.492610
 122.311101, 1634196.076857
 122.312767, 1634213.661104
 122.314434, 1634231.245350
