Block fuel (kg), LTO_Nox (kg)
2099.289208,    1.260304
2094.800766,    1.260314
2094.164985,    1.260368
2094.925497,    1.260305
2095.111672,    1.260299
2095.696361,    1.260288
2095.084251,    1.260300
2100.536579,    1.260320
2097.793174,    1.260287
2094.225127,    1.260349
2097.948681,    1.260290
2095.977038,    1.260285
2094.402705,    1.260339
2095.311952,    1.260298
2096.863501,    1.260282
2096.172355,    1.260284
2099.771594,    1.260308
2094.309089,    1.260335
2098.866386,    1.260295
2100.863693,    1.260329
2100.296682,    1.260321
2095.100870,    1.260302
2094.912221,    1.260304
2098.114278,    1.260291
2096.569562,    1.260284
2099.934829,    1.260310
2096.536492,    1.260285
2097.953219,    1.260291
2098.699889,    1.260295
2096.683873,    1.260285
2099.956022,    1.260314
2095.335710,    1.260299
2098.013214,    1.260291
2094.203645,    1.260353
2098.155819,    1.260288
2098.921135,    1.260299
2096.410364,    1.260287
2096.407976,    1.260283
2098.294974,    1.260291
2097.315097,    1.260283
2094.415686,    1.260332
2096.472937,    1.260281
2094.123413,    1.260373
2100.782940,    1.260328
2099.894711,    1.260312
2094.413560,    1.260332
2098.281755,    1.260291
2094.250846,    1.260344
2097.032533,    1.260283
2097.517443,    1.260287
2096.756549,    1.260284
2094.536393,    1.260318
2097.690886,    1.260287
2098.295100,    1.260293
2094.487686,    1.260324
2096.601777,    1.260280
2097.575679,    1.260285
2099.262560,    1.260301
2100.268765,    1.260324
2099.474271,    1.260305
2097.142487,    1.260286
2096.812984,    1.260283
2097.462009,    1.260288
2097.980769,    1.260289
2096.966433,    1.260282
2098.270547,    1.260294
2095.526111,    1.260295
2098.050025,    1.260288
2095.176351,    1.260298
2095.751197,    1.260289
2097.004840,    1.260285
2098.841263,    1.260299
2094.191861,    1.260364
2098.805093,    1.260297
2099.068719,    1.260302
2095.454820,    1.260291
2097.573480,    1.260284
2098.419028,    1.260295
2094.787703,    1.260310
2099.445462,    1.260307
2095.452938,    1.260293
2096.616581,    1.260284
2094.744756,    1.260313
2098.044020,    1.260290
2095.952102,    1.260287
2098.206787,    1.260293
2094.464277,    1.260324
2094.687912,    1.260313
2100.015164,    1.260315
2095.825266,    1.260289
2099.077026,    1.260300
2100.481131,    1.260320
2097.334284,    1.260284
2099.520865,    1.260306
2094.832071,    1.260305
2095.748832,    1.260287
2096.755252,    1.260286
2095.940562,    1.260284
2095.880749,    1.260286
2094.421535,    1.260333
2097.749769,    1.260284
2100.365803,    1.260323
2097.253918,    1.260285
2098.438384,    1.260291
2095.379639,    1.260297
2096.793126,    1.260281
2095.519601,    1.260288
2098.534276,    1.260292
2094.664392,    1.260318
2094.782341,    1.260308
2100.895846,    1.260330
2097.589959,    1.260286
2099.616431,    1.260307
2096.904312,    1.260281
2096.466273,    1.260284
2095.061647,    1.260303
2095.136731,    1.260301
2094.517202,    1.260319
2096.225275,    1.260282
2095.863511,    1.260285
2094.452518,    1.260325
2094.585888,    1.260316
2096.164899,    1.260288
2099.162964,    1.260303
