alpha body, Static Stability Margin
  -4.000000,   -0.110179
  -3.517241,   -0.107844
  -3.034483,   -0.103309
  -2.551724,   -0.098910
  -2.068966,   -0.094502
  -1.586207,   -0.090165
  -1.103448,   -0.085809
  -0.620690,   -0.081423
  -0.137931,   -0.076940
   0.344828,   -0.072448
   0.827586,   -0.068057
   1.310345,   -0.063662
   1.793103,    0.003366
   2.275862,    0.006151
   2.758621,   -0.053736
   3.241379,   -0.049380
   3.724138,   -0.045056
   4.206897,   -0.040698
   4.689655,   -0.036291
   5.172414,   -0.031879
   5.655172,   -0.027535
   6.137931,   -0.023237
   6.620690,   -0.018946
   7.103448,   -0.014645
   7.586207,   -0.042204
   8.068966,   -0.166724
   8.551724,   -0.271703
   9.034483,   -0.289156
   9.517241,   -0.313726
  10.000000,   -0.331037
