alpha body, Static Stability Margin
  -4.000000,    0.203387
  -3.517241,    0.205298
  -3.034483,    0.209010
  -2.551724,    0.212609
  -2.068966,    0.216213
  -1.586207,    0.219759
  -1.103448,    0.223321
  -0.620690,    0.226908
  -0.137931,    0.230574
   0.344828,    0.234250
   0.827586,    0.237843
   1.310345,    0.241440
   1.793103,    0.296529
   2.275862,    0.298806
   2.758621,    0.249566
   3.241379,    0.253140
   3.724138,    0.256691
   4.206897,    0.260272
   4.689655,    0.263897
   5.172414,    0.267529
   5.655172,    0.271107
   6.137931,    0.274651
   6.620690,    0.278193
   7.103448,    0.281748
   7.586207,    0.258897
   8.068966,    0.155686
   8.551724,    0.068674
   9.034483,    0.054214
   9.517241,    0.034225
  10.000000,    0.020245
