alpha, CM
  -3.893380,    0.015778
  -3.310295,    0.016054
  -2.763810,    0.016313
  -2.220240,    0.016571
  -1.679492,    0.016827
  -1.141472,    0.017082
  -0.606085,    0.017335
  -0.073238,    0.017588
   0.457164,    0.017839
   0.985213,    0.018089
   1.511003,    0.018338
   2.043913,    0.018591
   2.594819,    0.018852
   3.148853,    0.019115
   3.706137,    0.019379
   4.270637,    0.019646
   4.874405,    0.019932
   5.559744,    0.020257
   6.349687,    0.020631
   7.245279,    0.021055
   8.225998,    0.021520
   9.250886,    0.022006
  10.260118,    0.022484
  11.176435,    0.022918
  11.905492,    0.023263
