alpha, CM
  -3.893380,    0.032482
  -3.310295,    0.032758
  -2.763810,    0.033017
  -2.220240,    0.033274
  -1.679492,    0.033531
  -1.141472,    0.033785
  -0.606085,    0.034039
  -0.073238,    0.034292
   0.457164,    0.034543
   0.985213,    0.034793
   1.511003,    0.035042
   2.043913,    0.035295
   2.594819,    0.035556
   3.148853,    0.035818
   3.706137,    0.036082
   4.270637,    0.036350
   4.874405,    0.036636
   5.559744,    0.036961
   6.349687,    0.037335
   7.245279,    0.037759
   8.225998,    0.038224
   9.250886,    0.038709
  10.260118,    0.039188
  11.176435,    0.039622
  11.905492,    0.039967
