alpha, CM
  -3.893380,    0.072627
  -3.310295,    0.072904
  -2.763810,    0.073163
  -2.220240,    0.073420
  -1.679492,    0.073676
  -1.141472,    0.073931
  -0.606085,    0.074185
  -0.073238,    0.074437
   0.457164,    0.074689
   0.985213,    0.074939
   1.511003,    0.075188
   2.043913,    0.075441
   2.594819,    0.075702
   3.148853,    0.075964
   3.706137,    0.076228
   4.270637,    0.076496
   4.874405,    0.076782
   5.559744,    0.077106
   6.349687,    0.077481
   7.245279,    0.077905
   8.225998,    0.078370
   9.250886,    0.078855
  10.260118,    0.079333
  11.176435,    0.079768
  11.905492,    0.080113
