alpha, CM
  -3.893380,   -0.006522
  -3.310295,   -0.006246
  -2.763810,   -0.005987
  -2.220240,   -0.005729
  -1.679492,   -0.005473
  -1.141472,   -0.005218
  -0.606085,   -0.004964
  -0.073238,   -0.004712
   0.457164,   -0.004461
   0.985213,   -0.004210
   1.511003,   -0.003961
   2.043913,   -0.003709
   2.594819,   -0.003448
   3.148853,   -0.003185
   3.706137,   -0.002921
   4.270637,   -0.002654
   4.874405,   -0.002368
   5.559744,   -0.002043
   6.349687,   -0.001669
   7.245279,   -0.001244
   8.225998,   -0.000780
   9.250886,   -0.000294
  10.260118,    0.000184
  11.176435,    0.000618
  11.905492,    0.000964
