alpha, CM
  -3.893380,    0.002833
  -3.310295,    0.003109
  -2.763810,    0.003368
  -2.220240,    0.003625
  -1.679492,    0.003882
  -1.141472,    0.004136
  -0.606085,    0.004390
  -0.073238,    0.004643
   0.457164,    0.004894
   0.985213,    0.005144
   1.511003,    0.005393
   2.043913,    0.005646
   2.594819,    0.005907
   3.148853,    0.006169
   3.706137,    0.006433
   4.270637,    0.006701
   4.874405,    0.006987
   5.559744,    0.007312
   6.349687,    0.007686
   7.245279,    0.008110
   8.225998,    0.008575
   9.250886,    0.009060
  10.260118,    0.009539
  11.176435,    0.009973
  11.905492,    0.010318
