alpha, CM
  -3.893380,    0.052014
  -3.310295,    0.052290
  -2.763810,    0.052549
  -2.220240,    0.052807
  -1.679492,    0.053063
  -1.141472,    0.053318
  -0.606085,    0.053572
  -0.073238,    0.053824
   0.457164,    0.054076
   0.985213,    0.054326
   1.511003,    0.054575
   2.043913,    0.054827
   2.594819,    0.055088
   3.148853,    0.055351
   3.706137,    0.055615
   4.270637,    0.055882
   4.874405,    0.056168
   5.559744,    0.056493
   6.349687,    0.056867
   7.245279,    0.057292
   8.225998,    0.057756
   9.250886,    0.058242
  10.260118,    0.058720
  11.176435,    0.059154
  11.905492,    0.059500
