alpha, CM
  -3.893380,    0.093993
  -3.310295,    0.094269
  -2.763810,    0.094528
  -2.220240,    0.094785
  -1.679492,    0.095042
  -1.141472,    0.095296
  -0.606085,    0.095550
  -0.073238,    0.095803
   0.457164,    0.096054
   0.985213,    0.096304
   1.511003,    0.096553
   2.043913,    0.096806
   2.594819,    0.097067
   3.148853,    0.097329
   3.706137,    0.097593
   4.270637,    0.097861
   4.874405,    0.098147
   5.559744,    0.098472
   6.349687,    0.098846
   7.245279,    0.099270
   8.225998,    0.099735
   9.250886,    0.100220
  10.260118,    0.100699
  11.176435,    0.101133
  11.905492,    0.101478
