eta, Ccl basic
   0.000000,    1.543572
   0.020408,    1.529489
   0.040816,    1.525143
   0.061224,    1.518663
   0.081633,    1.510330
   0.102041,    1.500332
   0.122449,    1.488810
   0.142857,    1.475867
   0.163265,    1.461587
   0.183673,    1.446032
   0.204082,    1.429248
   0.224490,    1.411268
   0.244898,    1.392104
   0.265306,    1.371752
   0.285714,    1.349720
   0.306122,    1.326208
   0.326531,    1.302613
   0.346939,    1.276779
   0.367347,    1.249964
   0.387755,    1.222332
   0.408163,    1.194007
   0.428571,    1.165093
   0.448980,    1.135678
   0.469388,    1.105837
   0.489796,    1.075638
   0.510204,    1.045132
   0.530612,    1.014369
   0.551020,    0.983400
   0.571429,    0.952262
   0.591837,    0.920984
   0.612245,    0.889590
   0.632653,    0.858096
   0.653061,    0.826512
   0.673469,    0.794838
   0.693878,    0.763065
   0.714286,    0.731173
   0.734694,    0.699127
   0.755102,    0.666874
   0.775510,    0.634337
   0.795918,    0.601410
   0.816327,    0.567941
   0.836735,    0.533719
   0.857143,    0.498445
   0.877551,    0.461683
   0.897959,    0.422783
   0.918367,    0.380726
   0.938776,    0.333790
   0.959184,    0.278714
   0.979592,    0.207660
   1.000000,    0.000000
