eta, M
   0.000000, 1593.578760
   0.020408, 1516.543783
   0.040816, 1444.957574
   0.061224, 1372.910766
   0.081633, 1300.478376
   0.102041, 1227.741139
   0.122449, 1154.782655
   0.142857, 1081.688023
   0.163265, 1008.543039
   0.183673,  935.433688
   0.204082,  862.445840
   0.224490,  789.665093
   0.244898,  717.176731
   0.265306,  645.065784
   0.285714,  573.417166
   0.306122,  502.315886
   0.326531,  431.847326
   0.346939,  362.097572
   0.367347,  293.153813
   0.387755,  225.104796
   0.408163,  158.041347
   0.428571,   92.056964
   0.448980,   27.248495
   0.469388,  -36.283089
   0.489796,  -98.431806
   0.510204, -159.084563
   0.530612, -218.120557
   0.551020, -275.412113
   0.571429, -330.820560
   0.591837, -384.194872
   0.612245, -435.369287
   0.632653, -484.160425
   0.653061, -530.363766
   0.673469, -573.749287
   0.693878, -614.056007
   0.714286, -650.985065
   0.734694, -684.190805
   0.755102, -713.269087
   0.775510, -737.741653
   0.795918, -757.034699
   0.816327, -770.448659
   0.836735, -777.114081
   0.857143, -775.924369
   0.877551, -765.427653
   0.897959, -743.640563
   0.918367, -707.697176
   0.938776, -653.098570
   0.959184, -571.774370
   0.979592, -445.101771
   1.000000,    0.000000
