eta, M
   0.000000, 7967.893798
   0.020408, 7582.718913
   0.040816, 7224.787868
   0.061224, 6864.553831
   0.081633, 6502.391881
   0.102041, 6138.705695
   0.122449, 5773.913275
   0.142857, 5408.440117
   0.163265, 5042.715197
   0.183673, 4677.168441
   0.204082, 4312.229201
   0.224490, 3948.325463
   0.244898, 3585.883653
   0.265306, 3225.328918
   0.285714, 2867.085829
   0.306122, 2511.579432
   0.326531, 2159.236631
   0.346939, 1810.487860
   0.367347, 1465.769066
   0.387755, 1125.523981
   0.408163,  790.206735
   0.428571,  460.284819
   0.448980,  136.242475
   0.469388, -181.415444
   0.489796, -492.159029
   0.510204, -795.422815
   0.530612, -1090.602787
   0.551020, -1377.060565
   0.571429, -1654.102800
   0.591837, -1920.974360
   0.612245, -2176.846434
   0.632653, -2420.802126
   0.653061, -2651.818831
   0.673469, -2868.746434
   0.693878, -3070.280033
   0.714286, -3254.925325
   0.734694, -3420.954025
   0.755102, -3566.345436
   0.775510, -3688.708264
   0.795918, -3785.173494
   0.816327, -3852.243296
   0.836735, -3885.570403
   0.857143, -3879.621844
   0.877551, -3827.138263
   0.897959, -3718.202817
   0.918367, -3538.485879
   0.938776, -3265.492851
   0.959184, -2858.871852
   0.979592, -2225.508853
   1.000000,    0.000000
