eta, gamma
   0.000000,  159.275926
   0.020408,  159.089332
   0.040816,  158.591582
   0.061224,  157.865709
   0.081633,  156.950580
   0.102041,  155.872287
   0.122449,  154.650381
   0.142857,  153.300408
   0.163265,  151.835263
   0.183673,  150.266023
   0.204082,  148.602555
   0.224490,  146.854046
   0.244898,  145.029625
   0.265306,  143.139413
   0.285714,  141.197907
   0.306122,  139.224577
   0.326531,  137.228829
   0.346939,  135.200836
   0.367347,  133.135918
   0.387755,  131.033622
   0.408163,  128.894782
   0.428571,  126.720684
   0.448980,  124.512690
   0.469388,  122.272042
   0.489796,  119.999757
   0.510204,  117.696261
   0.530612,  115.361937
   0.551020,  112.997062
   0.571429,  110.601163
   0.591837,  108.173253
   0.612245,  105.711751
   0.632653,  103.214365
   0.653061,  100.677946
   0.673469,   98.098287
   0.693878,   95.469862
   0.714286,   92.785465
   0.734694,   90.035710
   0.755102,   87.208341
   0.775510,   84.287250
   0.795918,   81.251041
   0.816327,   78.070906
   0.836735,   74.707361
   0.857143,   71.105065
   0.877551,   67.184209
   0.897959,   62.825368
   0.918367,   57.840712
   0.938776,   51.912912
   0.959184,   44.440714
   0.979592,   33.999304
   1.000000,    0.000000
