eta, gamma
   0.000000,   46.178354
   0.020408,   46.122239
   0.040816,   45.971769
   0.061224,   45.750833
   0.081633,   45.470520
   0.102041,   45.138166
   0.122449,   44.759133
   0.142857,   44.337531
   0.163265,   43.876571
   0.183673,   43.378776
   0.204082,   42.846095
   0.224490,   42.279963
   0.244898,   41.681319
   0.265306,   41.050606
   0.285714,   40.387960
   0.306122,   39.689643
   0.326531,   38.949632
   0.346939,   38.177443
   0.367347,   37.380351
   0.387755,   36.562832
   0.408163,   35.728382
   0.428571,   34.879898
   0.448980,   34.019832
   0.469388,   33.150282
   0.489796,   32.273046
   0.510204,   31.389621
   0.530612,   30.501350
   0.551020,   29.609389
   0.571429,   28.714638
   0.591837,   27.817803
   0.612245,   26.919401
   0.632653,   26.019742
   0.653061,   25.118918
   0.673469,   24.216768
   0.693878,   23.312834
   0.714286,   22.406302
   0.734694,   21.495912
   0.755102,   20.579825
   0.775510,   19.655446
   0.795918,   18.719149
   0.816327,   17.765872
   0.836735,   16.788494
   0.857143,   15.776836
   0.877551,   14.716000
   0.897959,   13.583423
   0.918367,   12.343272
   0.938776,   10.934478
   0.959184,    9.240337
   0.979592,    6.981666
   1.000000,    0.000000
