alpha_b, CD
  -4.000000,    0.004179
  -3.517241,    0.004108
  -3.034483,    0.004045
  -2.551724,    0.003991
  -2.068966,    0.003946
  -1.586207,    0.003910
  -1.103448,    0.003884
  -0.620690,    0.003867
  -0.137931,    0.003859
   0.344828,    0.003862
   0.827586,    0.003873
   1.310345,    0.003895
   1.793103,    0.003926
   2.275862,    0.003967
   2.758621,    0.004018
   3.241379,    0.004079
   3.724138,    0.004151
   4.206897,    0.004232
   4.689655,    0.004324
   5.172414,    0.004426
   5.655172,    0.004539
   6.137931,    0.004662
   6.620690,    0.004796
   7.103448,    0.004940
   7.586207,    0.005096
   8.068966,    0.005262
   8.551724,    0.005439
   9.034483,    0.005628
   9.517241,    0.005827
  10.000000,    0.006038
