Mach, Altitude
   0.181613,    0.000000
   0.182694,  328.083990
   0.183784,  656.167979
   0.184883,  984.251969
   0.185990, 1312.335958
   0.187108, 1640.419948
   0.188234, 1968.503937
   0.189369, 2296.587927
   0.190515, 2624.671916
   0.191669, 2952.755906
   0.192833, 3280.839895
   0.194007, 3608.923885
   0.195191, 3937.007874
   0.196385, 4265.091864
   0.197589, 4593.175853
   0.198803, 4921.259843
   0.200027, 5249.343832
   0.201262, 5577.427822
   0.202508, 5905.511811
   0.203763, 6233.595801
   0.205030, 6561.679790
   0.206307, 6889.763780
   0.207596, 7217.847769
   0.208895, 7545.931759
   0.210206, 7874.015748
   0.211528, 8202.099738
   0.212862, 8530.183727
   0.214207, 8858.267717
   0.215564, 9186.351706
   0.216933, 9514.435696
   0.218313, 9842.519685
   0.219706, 10170.603675
   0.221111, 10498.687664
   0.222529, 10826.771654
   0.223959, 11154.855643
   0.225401, 11482.939633
   0.226857, 11811.023622
   0.228325, 12139.107612
   0.229807, 12467.191601
   0.231302, 12795.275591
   0.232810, 13123.359580
   0.234332, 13451.443570
   0.235867, 13779.527559
   0.237417, 14107.611549
   0.238980, 14435.695538
   0.240558, 14763.779528
   0.242150, 15091.863517
   0.243756, 15419.947507
   0.245377, 15748.031496
   0.247013, 16076.115486
   0.248665, 16404.199475
   0.250331, 16732.283465
   0.252013, 17060.367454
   0.253710, 17388.451444
   0.255423, 17716.535433
   0.257152, 18044.619423
   0.258897, 18372.703412
   0.260659, 18700.787402
   0.262437, 19028.871391
   0.264232, 19356.955381
   0.266044, 19685.039370
   0.267873, 20013.123360
   0.269719, 20341.207349
   0.271583, 20669.291339
   0.273464, 20997.375328
   0.275364, 21325.459318
   0.277281, 21653.543307
   0.279217, 21981.627297
   0.281172, 22309.711286
   0.283146, 22637.795276
   0.285139, 22965.879265
   0.287151, 23293.963255
   0.289183, 23622.047244
   0.291234, 23950.131234
   0.293306, 24278.215223
   0.295398, 24606.299213
   0.297510, 24934.383202
   0.299644, 25262.467192
   0.301798, 25590.551181
   0.303974, 25918.635171
   0.306172, 26246.719160
   0.377437, 26574.803150
   0.384797, 26246.719160
   0.390167, 25918.635171
   0.394897, 25590.551181
   0.398984, 25262.467192
   0.403107, 24934.383202
   0.407265, 24606.299213
   0.410773, 24278.215223
   0.413631, 23950.131234
   0.416518, 23622.047244
   0.418750, 23293.963255
   0.421010, 22965.879265
   0.423297, 22637.795276
   0.424924, 22309.711286
   0.426575, 21981.627297
   0.428252, 21653.543307
   0.429953, 21325.459318
   0.430987, 20997.375328
   0.432044, 20669.291339
   0.433123, 20341.207349
   0.434223, 20013.123360
   0.435345, 19685.039370
   0.435794, 19356.955381
   0.436263, 19028.871391
   0.436751, 18700.787402
   0.437258, 18372.703412
   0.437784, 18044.619423
   0.438328, 17716.535433
   0.438891, 17388.451444
   0.438772, 17060.367454
   0.439371, 16732.283465
   0.439286, 16404.199475
   0.439218, 16076.115486
   0.439867, 15748.031496
   0.439831, 15419.947507
   0.439811, 15091.863517
   0.439102, 14763.779528
   0.439112, 14435.695538
   0.438432, 14107.611549
   0.437765, 13779.527559
   0.437112, 13451.443570
   0.436472, 13123.359580
   0.436553, 12795.275591
   0.435940, 12467.191601
   0.435340, 12139.107612
   0.434752, 11811.023622
   0.434178, 11482.939633
   0.432905, 11154.855643
   0.432354, 10826.771654
   0.431816, 10498.687664
   0.431290, 10170.603675
   0.430062, 9842.519685
   0.428846, 9514.435696
   0.426926, 9186.351706
   0.425730, 8858.267717
   0.424544, 8530.183727
   0.422652, 8202.099738
   0.421486, 7874.015748
   0.420330, 7545.931759
   0.419184, 7217.847769
   0.418048, 6889.763780
   0.416203, 6561.679790
   0.415085, 6233.595801
   0.413977, 5905.511811
   0.412878, 5577.427822
   0.411789, 5249.343832
   0.410709, 4921.259843
   0.408916, 4593.175853
   0.407132, 4265.091864
   0.405355, 3937.007874
   0.403586, 3608.923885
   0.401825, 3280.839895
   0.400072, 2952.755906
   0.398327, 2624.671916
   0.396588, 2296.587927
   0.394858, 1968.503937
   0.393134, 1640.419948
   0.392144, 1312.335958
   0.390436,  984.251969
   0.388735,  656.167979
   0.387041,  328.083990
   0.385354,    0.000000
