%Alpha[deg]   c[m]     y/(b/2)   Xle/Cr    Clstaz    Cl_bas    Cl_add    Ccl/cavg    Cmac2d
   3.00000   2.74977   0.48990   0.67380   1.66235   0.00000   0.00000   1.45612  -0.04000
   3.00000   2.72171   0.50000   0.68590   1.66255   0.00000   0.00000   1.44143  -0.04000
   3.00000   2.69364   0.51010   0.69799   1.66222   0.00000   0.00000   1.42628  -0.04000
   3.00000   2.66558   0.52020   0.71009   1.66132   0.00000   0.00000   1.41066  -0.04000
   3.00000   2.63751   0.53030   0.72218   1.65983   0.00000   0.00000   1.39456  -0.04000
   3.00000   2.60945   0.54040   0.73428   1.65768   0.00000   0.00000   1.37793  -0.04000
   3.00000   2.58138   0.55051   0.74638   1.65481   0.00000   0.00000   1.36075  -0.04000
   3.00000   2.55330   0.56061   0.75848   1.65113   0.00000   0.00000   1.34295  -0.04000
   3.00000   2.52503   0.57071   0.77064   1.64687   0.00000   0.00000   1.32466  -0.04000
   3.00000   2.49694   0.58081   0.78274   1.64149   0.00000   0.00000   1.30564  -0.04000
   3.00000   2.46885   0.59091   0.79483   1.63503   0.00000   0.00000   1.28587  -0.04000
   3.00000   2.44075   0.60101   0.80692   1.62735   0.00000   0.00000   1.26527  -0.04000
   3.00000   2.41266   0.61111   0.81901   1.61831   0.00000   0.00000   1.24376  -0.04000
   3.00000   2.38457   0.62121   0.83111   1.60770   0.00000   0.00000   1.22121  -0.04000
   3.00000   2.35647   0.63131   0.84320   1.59527   0.00000   0.00000   1.19750  -0.04000
   3.00000   2.32838   0.64141   0.85529   1.58074   0.00000   0.00000   1.17244  -0.04000
   3.00000   2.30029   0.65152   0.86739   1.56372   0.00000   0.00000   1.14583  -0.04000
   3.00000   2.27219   0.66162   0.87948   1.54377   0.00000   0.00000   1.11739  -0.04000
   3.00000   2.24410   0.67172   0.89157   1.52029   0.00000   0.00000   1.08679  -0.04000
   3.00000   2.21601   0.68182   0.90366   1.49250   0.00000   0.00000   1.05357  -0.04000
   3.00000   2.18791   0.69192   0.91576   1.45939   0.00000   0.00000   1.01714  -0.04000
   3.00000   2.15982   0.70202   0.92785   1.41954   0.00000   0.00000   0.97666  -0.04000
   3.00000   2.13173   0.71212   0.93994   1.37088   0.00000   0.00000   0.93091  -0.04000
   3.00000   2.10363   0.72222   0.95203   1.31009   0.00000   0.00000   0.87791  -0.04000
   3.00000   2.07550   0.73232   0.96415   1.23098   0.00000   0.00000   0.81386  -0.04000
   3.00000   2.04745   0.74242   0.97632   1.11745   0.00000   0.00000   0.72882  -0.04000
