Ground Distance, 
   0.000000,   56.247601
 253.034685,   56.247601
 261.431962,   55.526478
 269.829240,   54.805355
 278.226518,   54.084232
 286.623795,   53.363109
 295.021073,   52.641986
 303.418351,   51.920863
 311.815629,   51.199740
 320.212906,   50.478617
 328.610184,   49.757494
 329.335826,   49.747852
 336.584522,   49.651534
 385.907627,   48.996117
 395.693840,   48.866065
 405.454076,   48.736353
 415.188403,   48.606980
 424.896890,   48.477943
 425.284693,   48.472789
 426.060175,   48.462482
 426.370322,   48.458359
 426.501746,   48.456613
 426.764580,   48.453119
 426.786320,   48.452830
 426.797047,   48.452688
 426.803541,   48.452601
 426.808250,   48.452539
 426.812477,   48.452482
 426.814369,   48.452457
 426.814693,   48.452441
 426.814987,   48.452424
 426.817927,   48.452263
 426.847330,   48.450651
 427.141299,   48.434517
 430.075587,   48.272152
 458.854134,   46.541916
 487.950497,   44.493249
 514.618038,   42.278313
 538.772186,   39.910750
 560.474934,   37.398695
 579.820739,   34.750706
 596.923231,   31.975430
 601.457624,   31.152314
 605.374110,   30.406342
 607.129849,   30.060546
 607.896741,   29.907186
 608.624066,   29.760421
 615.697847,   28.261316
 621.230268,   26.986806
 625.412676,   25.953569
 626.511892,   25.670877
 627.685077,   25.363654
 638.556895,   22.196171
 641.088413,   21.356995
 643.294655,   20.586003
 644.356047,   20.200515
 644.910875,   19.994958
 645.631156,   19.723805
 652.284737,   16.946827
 659.511397,   13.090803
 660.934021,   12.159587
 662.224577,   11.238459
 663.503902,   10.233246
 663.751726,   10.025572
 663.872008,    9.923049
 663.980502,    9.829557
 665.008756,    8.889453
 668.433188,    4.358592
 668.966507,    3.066207
 669.179479,    2.354182
 669.322517,    1.714259
 669.415392,    1.114388
 669.466563,    0.551254
 669.483063,    0.024883
 669.483096,    0.001660
 669.483096,   -0.000000
