alpha body, CL
  -4.000000,   -0.239883
  -3.172414,   -0.149238
  -2.344828,   -0.059323
  -1.517241,    0.030534
  -0.689655,    0.120335
   0.137931,    0.210081
   0.965517,    0.299775
   1.793103,    0.389418
   2.620690,    0.479012
   3.448276,    0.568559
   4.275862,    0.658061
   5.103448,    0.747705
   5.931034,    0.837709
   6.758621,    0.927774
   7.586207,    1.017905
   8.413793,    1.106364
   9.241379,    1.180084
  10.068966,    1.229425
  10.896552,    1.256556
  11.724138,    1.275457
  12.551724,    1.311923
  13.379310,    1.403593
  14.206897,    1.599976
  15.034483,    1.962547
  15.862069,    2.564657
