alpha body, CL
  -4.000000,   -0.344074
  -3.172414,   -0.253429
  -2.344828,   -0.163514
  -1.517241,   -0.073657
  -0.689655,    0.016144
   0.137931,    0.105890
   0.965517,    0.195584
   1.793103,    0.285226
   2.620690,    0.374821
   3.448276,    0.464368
   4.275862,    0.553870
   5.103448,    0.643514
   5.931034,    0.733518
   6.758621,    0.823583
   7.586207,    0.913714
   8.413793,    1.002173
   9.241379,    1.075893
  10.068966,    1.125234
  10.896552,    1.152365
  11.724138,    1.171266
  12.551724,    1.207732
  13.379310,    1.299402
  14.206897,    1.495785
  15.034483,    1.858356
  15.862069,    2.460466
