alpha body, CL
  -4.000000,   -0.288839
  -3.172414,   -0.198194
  -2.344828,   -0.108279
  -1.517241,   -0.018422
  -0.689655,    0.071379
   0.137931,    0.161125
   0.965517,    0.250819
   1.793103,    0.340461
   2.620690,    0.430056
   3.448276,    0.519603
   4.275862,    0.609105
   5.103448,    0.698749
   5.931034,    0.788752
   6.758621,    0.878818
   7.586207,    0.968949
   8.413793,    1.057408
   9.241379,    1.131128
  10.068966,    1.180469
  10.896552,    1.207600
  11.724138,    1.226501
  12.551724,    1.262967
  13.379310,    1.354637
  14.206897,    1.551020
  15.034483,    1.913591
  15.862069,    2.515701
