alpha body, CL
  -4.000000,   -0.306336
  -3.172414,   -0.215691
  -2.344828,   -0.125776
  -1.517241,   -0.035919
  -0.689655,    0.053882
   0.137931,    0.143628
   0.965517,    0.233322
   1.793103,    0.322965
   2.620690,    0.412559
   3.448276,    0.502106
   4.275862,    0.591608
   5.103448,    0.681252
   5.931034,    0.771256
   6.758621,    0.861321
   7.586207,    0.951452
   8.413793,    1.039911
   9.241379,    1.113632
  10.068966,    1.162972
  10.896552,    1.190103
  11.724138,    1.209004
  12.551724,    1.245471
  13.379310,    1.337140
  14.206897,    1.533523
  15.034483,    1.896094
  15.862069,    2.498204
