alpha body, CL
  -4.000000,   -0.055544
  -3.172414,    0.035101
  -2.344828,    0.125016
  -1.517241,    0.214873
  -0.689655,    0.304674
   0.137931,    0.394420
   0.965517,    0.484113
   1.793103,    0.573756
   2.620690,    0.663351
   3.448276,    0.752898
   4.275862,    0.842400
   5.103448,    0.932044
   5.931034,    1.022047
   6.758621,    1.112113
   7.586207,    1.202244
   8.413793,    1.290703
   9.241379,    1.364423
  10.068966,    1.413764
  10.896552,    1.440895
  11.724138,    1.459796
  12.551724,    1.496262
  13.379310,    1.587932
  14.206897,    1.784315
  15.034483,    2.146886
  15.862069,    2.748996
