alpha body, CL
  -4.000000,   -0.295876
  -3.172414,   -0.205231
  -2.344828,   -0.115316
  -1.517241,   -0.025459
  -0.689655,    0.064342
   0.137931,    0.154088
   0.965517,    0.243782
   1.793103,    0.333425
   2.620690,    0.423019
   3.448276,    0.512566
   4.275862,    0.602068
   5.103448,    0.691712
   5.931034,    0.781716
   6.758621,    0.871781
   7.586207,    0.961912
   8.413793,    1.050371
   9.241379,    1.124091
  10.068966,    1.173432
  10.896552,    1.200563
  11.724138,    1.219464
  12.551724,    1.255930
  13.379310,    1.347600
  14.206897,    1.543983
  15.034483,    1.906554
  15.862069,    2.508664
