alpha body, CL
  -4.000000,   -0.117645
  -3.172414,   -0.027000
  -2.344828,    0.062915
  -1.517241,    0.152772
  -0.689655,    0.242573
   0.137931,    0.332319
   0.965517,    0.422012
   1.793103,    0.511655
   2.620690,    0.601250
   3.448276,    0.690797
   4.275862,    0.780299
   5.103448,    0.869943
   5.931034,    0.959946
   6.758621,    1.050012
   7.586207,    1.140143
   8.413793,    1.228602
   9.241379,    1.302322
  10.068966,    1.351663
  10.896552,    1.378794
  11.724138,    1.397695
  12.551724,    1.434161
  13.379310,    1.525831
  14.206897,    1.722214
  15.034483,    2.084785
  15.862069,    2.686895
