alpha body, CL
  -4.000000,   -0.179746
  -3.172414,   -0.089101
  -2.344828,    0.000814
  -1.517241,    0.090671
  -0.689655,    0.180472
   0.137931,    0.270218
   0.965517,    0.359911
   1.793103,    0.449554
   2.620690,    0.539149
   3.448276,    0.628696
   4.275862,    0.718198
   5.103448,    0.807842
   5.931034,    0.897845
   6.758621,    0.987911
   7.586207,    1.078042
   8.413793,    1.166501
   9.241379,    1.240221
  10.068966,    1.289562
  10.896552,    1.316693
  11.724138,    1.335594
  12.551724,    1.372060
  13.379310,    1.463730
  14.206897,    1.660113
  15.034483,    2.022684
  15.862069,    2.624794
