Ground Distance, 
   0.000000,   15.240000
 240.072474,    2.658335
 251.352220,    2.100110
 262.631965,    1.607693
 273.911711,    1.181032
 285.191456,    0.820085
 296.471201,    0.524814
 307.750947,    0.295191
 319.030692,    0.131190
 330.310437,    0.032797
 341.590183,   -0.000000
 342.412792,    0.000000
 350.627524,    0.000000
 407.634734,    0.000000
 418.916862,    0.000000
 430.159676,    0.000000
 441.363368,    0.000000
 452.528131,    0.000000
 453.268518,    0.000000
 453.835708,    0.000000
 454.311711,    0.000000
 454.553229,    0.000000
 454.704591,    0.000000
 454.828326,    0.000000
 454.876900,    0.000000
 454.906982,    0.000000
 454.922421,    0.000000
 454.928923,    0.000000
 454.935433,    0.000000
 455.000531,    0.000000
 455.651429,    0.000000
 462.152254,    0.000000
 506.467511,    0.000000
 550.492490,    0.000000
 592.068064,    0.000000
 608.392812,    0.000000
 619.952401,    0.000000
 631.549152,    0.000000
 666.440020,    0.000000
 699.941722,    0.000000
 730.840998,    0.000000
 759.107722,    0.000000
 784.793124,    0.000000
 807.975365,    0.000000
 828.753845,    0.000000
 847.243999,    0.000000
 863.571212,    0.000000
 867.103113,    0.000000
 869.220203,    0.000000
 871.732959,    0.000000
 874.021265,    0.000000
 887.026454,    0.000000
 888.747127,    0.000000
 889.520655,    0.000000
 890.331305,    0.000000
 898.065884,    0.000000
 907.748589,    0.000000
 908.085188,    0.000000
 908.434428,    0.000000
 911.800166,    0.000000
 919.596283,    0.000000
 925.774685,    0.000000
 926.939435,    0.000000
 927.073053,    0.000000
 927.192913,    0.000000
 928.322113,    0.000000
 931.673931,    0.000000
 932.141247,    0.000000
 932.349981,    0.000000
 932.494640,    0.000000
 932.591560,    0.000000
 932.648363,    0.000000
 932.671455,    0.000000
 932.672609,    0.000000
 932.672702,    0.000000
 932.672707,    0.000000
