CL, CM
  -0.620532,    0.608053
  -0.558752,    0.621448
  -0.497005,    0.635045
  -0.435286,    0.648833
  -0.373597,    0.662810
  -0.311933,    0.676979
  -0.250294,    0.691332
  -0.188680,    0.705879
  -0.127090,    0.720614
  -0.065528,    0.735554
  -0.003989,    0.750684
   0.057526,    0.766011
   0.119019,    0.781529
   0.180490,    0.804456
   0.241936,    0.820186
   0.303361,    0.836110
   0.364765,    0.852228
   0.426148,    0.868540
   0.487511,    0.885050
   0.548852,    0.901761
   0.610174,    0.918674
   0.671476,    0.935782
   0.732760,    0.953089
   0.794027,    0.970592
   0.855274,    0.988297
   0.917586,    1.002884
   0.983176,    1.007566
   1.049174,    1.011145
   1.115478,    1.013926
   1.180569,    1.014864
