CL, CM
  -0.629035,    0.640451
  -0.567255,    0.653864
  -0.505508,    0.667478
  -0.443789,    0.681280
  -0.382100,    0.695269
  -0.320436,    0.709449
  -0.258797,    0.723810
  -0.197183,    0.738364
  -0.135593,    0.753104
  -0.074031,    0.768048
  -0.012492,    0.783179
   0.049023,    0.798505
   0.110516,    0.814021
   0.171987,    0.836943
   0.233433,    0.852667
   0.294858,    0.868583
   0.356262,    0.884691
   0.417645,    0.900991
   0.479008,    0.917488
   0.540349,    0.934184
   0.601671,    0.951079
   0.662973,    0.968168
   0.724257,    0.985454
   0.785524,    1.002934
   0.846771,    1.020615
   0.909083,    1.035175
   0.974673,    1.039828
   1.040671,    1.043377
   1.106975,    1.046126
   1.172066,    1.047030
