CL, CM
  -0.488713,    0.201205
  -0.426932,    0.214000
  -0.365186,    0.227026
  -0.303467,    0.240270
  -0.241777,    0.253732
  -0.180113,    0.267415
  -0.118474,    0.281309
  -0.056860,    0.295426
   0.004729,    0.309760
   0.066292,    0.324327
   0.127830,    0.339113
   0.189346,    0.354123
   0.250839,    0.369354
   0.312310,    0.392023
   0.373756,    0.407522
   0.435181,    0.423245
   0.496585,    0.439190
   0.557968,    0.455357
   0.619331,    0.471753
   0.680672,    0.488377
   0.741993,    0.505231
   0.803296,    0.522309
   0.864580,    0.539615
   0.925846,    0.557146
   0.987094,    0.574908
   1.049405,    0.589580
   1.114996,    0.594375
   1.180994,    0.598097
   1.247298,    0.601049
   1.312389,    0.602187
