CL, CM
  -0.641674,    0.685790
  -0.579893,    0.699234
  -0.518147,    0.712876
  -0.456428,    0.726704
  -0.394739,    0.740717
  -0.333075,    0.754917
  -0.271436,    0.769295
  -0.209822,    0.783864
  -0.148232,    0.798616
  -0.086670,    0.813568
  -0.025131,    0.828706
   0.036384,    0.844036
   0.097878,    0.859552
   0.159348,    0.882473
   0.220795,    0.898192
   0.282219,    0.914101
   0.343623,    0.930199
   0.405006,    0.946486
   0.466369,    0.962967
   0.527710,    0.979644
   0.589032,    0.996519
   0.650334,    1.013583
   0.711619,    1.030843
   0.772885,    1.048293
   0.834132,    1.065942
   0.896444,    1.080467
   0.962034,    1.085083
   1.028032,    1.088591
   1.094336,    1.091297
   1.159427,    1.092156
