CL, CM
  -0.338636,   -0.253457
  -0.276855,   -0.241374
  -0.215109,   -0.229028
  -0.153390,   -0.216432
  -0.091700,   -0.203585
  -0.030036,   -0.190486
   0.031602,   -0.177143
   0.093216,   -0.163544
   0.154806,   -0.149697
   0.216368,   -0.135584
   0.277907,   -0.121220
   0.339423,   -0.106598
   0.400916,   -0.091724
   0.462386,   -0.069380
   0.523833,   -0.054172
   0.585257,   -0.038708
   0.646661,   -0.022989
   0.708044,   -0.007016
   0.769407,    0.009218
   0.830749,    0.025713
   0.892070,    0.042472
   0.953373,    0.059487
   1.014657,    0.076762
   1.075923,    0.094295
   1.137170,    0.112091
   1.199482,    0.126831
   1.265072,    0.131726
   1.331070,    0.135580
   1.397374,    0.138697
   1.462465,    0.140033
