CL, CM
  -0.687274,    0.830712
  -0.625493,    0.844337
  -0.563747,    0.858150
  -0.502028,    0.872140
  -0.440339,    0.886304
  -0.378675,    0.900646
  -0.317036,    0.915156
  -0.255422,    0.929847
  -0.193832,    0.944711
  -0.132270,    0.959766
  -0.070731,    0.974997
  -0.009216,    0.990409
   0.052278,    1.005998
   0.113748,    1.028982
   0.175195,    1.044753
   0.236619,    1.060705
   0.298023,    1.076836
   0.359406,    1.093146
   0.420769,    1.109641
   0.482110,    1.126321
   0.543432,    1.143189
   0.604734,    1.160237
   0.666019,    1.177470
   0.727285,    1.194884
   0.788532,    1.212486
   0.850844,    1.226955
   0.916434,    1.231505
   0.982432,    1.234937
   1.048736,    1.237557
   1.113827,    1.238320
