CL, CM
  -0.561378,    0.424279
  -0.499597,    0.437409
  -0.437851,    0.450754
  -0.376132,    0.464303
  -0.314442,    0.478054
  -0.252778,    0.492009
  -0.191139,    0.506160
  -0.129525,    0.520519
  -0.067936,    0.535078
  -0.006373,    0.549856
   0.055166,    0.564836
   0.116681,    0.580025
   0.178174,    0.595419
   0.239645,    0.618235
   0.301091,    0.633865
   0.362516,    0.649704
   0.423920,    0.665749
   0.485303,    0.682000
   0.546666,    0.698464
   0.608007,    0.715140
   0.669329,    0.732032
   0.730631,    0.749131
   0.791915,    0.766442
   0.853181,    0.783962
   0.914429,    0.801697
   0.976741,    0.816327
   1.042331,    0.821064
   1.108329,    0.824712
   1.174633,    0.827574
   1.239724,    0.828607
