CL, CM
  -0.413674,   -0.026199
  -0.351894,   -0.013757
  -0.290147,   -0.001068
  -0.228428,    0.011856
  -0.166739,    0.025014
  -0.105075,    0.038408
  -0.043436,    0.052030
   0.018178,    0.065891
   0.079768,    0.079984
   0.141330,    0.094328
   0.202869,    0.108906
   0.264384,    0.123725
   0.325877,    0.138781
   0.387348,    0.161291
   0.448794,    0.176647
   0.510219,    0.192244
   0.571623,    0.208079
   0.633006,    0.224153
   0.694369,    0.240471
   0.755710,    0.257034
   0.817032,    0.273844
   0.878334,    0.290893
   0.939618,    0.308187
   1.000885,    0.325722
   1.062132,    0.343505
   1.124444,    0.358214
   1.190034,    0.363062
   1.256032,    0.366853
   1.322336,    0.369891
   1.387427,    0.371132
