eta, M
   0.000000, 11072.077285
   0.020408, 10552.330939
   0.040816, 10078.845384
   0.061224, 9605.689528
   0.081633, 9130.684785
   0.102041, 8652.854926
   0.122449, 8171.818536
   0.142857, 7687.535994
   0.163265, 7200.179713
   0.183673, 6710.060311
   0.204082, 6217.582018
   0.224490, 5723.214809
   0.244898, 5227.476739
   0.265306, 4730.922809
   0.285714, 4234.138187
   0.306122, 3737.734453
   0.326531, 3242.348039
   0.346939, 2748.640313
   0.367347, 2257.298987
   0.387755, 1769.040637
   0.408163, 1284.614219
   0.428571,  804.805537
   0.448980,  330.442680
   0.469388, -137.597530
   0.489796, -598.381982
   0.510204, -1050.904394
   0.530612, -1494.077959
   0.551020, -1926.742097
   0.571429, -2347.629903
   0.591837, -2755.355945
   0.612245, -3148.396934
   0.632653, -3525.068906
   0.653061, -3883.500099
   0.673469, -4221.598456
   0.693878, -4537.012262
   0.714286, -4827.081808
   0.734694, -5088.778899
   0.755102, -5318.629261
   0.775510, -5512.609887
   0.795918, -5666.008163
   0.816327, -5773.220543
   0.836735, -5827.452288
   0.857143, -5820.248859
   0.877551, -5740.726205
   0.897959, -5574.223593
   0.918367, -5299.736617
   0.938776, -4884.395640
   0.959184, -4269.155724
   0.979592, -3317.166989
   1.000000,    0.000000
