eta, cCl
   0.000000,    0.484547
   0.020408,    0.481775
   0.040816,    0.482113
   0.061224,    0.482422
   0.081633,    0.482623
   0.102041,    0.482671
   0.122449,    0.482537
   0.142857,    0.482204
   0.163265,    0.481660
   0.183673,    0.480895
   0.204082,    0.479905
   0.224490,    0.478685
   0.244898,    0.477233
   0.265306,    0.475546
   0.285714,    0.473622
   0.306122,    0.471460
   0.326531,    0.469057
   0.346939,    0.466411
   0.367347,    0.463519
   0.387755,    0.460379
   0.408163,    0.456986
   0.428571,    0.453336
   0.448980,    0.449424
   0.469388,    0.445242
   0.489796,    0.440783
   0.510204,    0.436036
   0.530612,    0.430990
   0.551020,    0.425632
   0.571429,    0.419948
   0.591837,    0.413919
   0.612245,    0.407524
   0.632653,    0.400737
   0.653061,    0.393530
   0.673469,    0.385865
   0.693878,    0.377701
   0.714286,    0.368986
   0.734694,    0.359659
   0.755102,    0.349644
   0.775510,    0.338851
   0.795918,    0.327164
   0.816327,    0.314440
   0.836735,    0.300498
   0.857143,    0.285100
   0.877551,    0.267929
   0.897959,    0.248544
   0.918367,    0.226298
   0.938776,    0.200151
   0.959184,    0.168180
   0.979592,    0.125766
   1.000000,    0.000000
