eta, cCl
   0.000000,    2.422734
   0.020408,    2.408874
   0.040816,    2.410565
   0.061224,    2.412112
   0.081633,    2.413117
   0.102041,    2.413355
   0.122449,    2.412687
   0.142857,    2.411021
   0.163265,    2.408298
   0.183673,    2.404475
   0.204082,    2.399524
   0.224490,    2.393426
   0.244898,    2.386165
   0.265306,    2.377730
   0.285714,    2.368111
   0.306122,    2.357298
   0.326531,    2.345283
   0.346939,    2.332053
   0.367347,    2.317595
   0.387755,    2.301894
   0.408163,    2.284930
   0.428571,    2.266681
   0.448980,    2.247118
   0.469388,    2.226210
   0.489796,    2.203916
   0.510204,    2.180181
   0.530612,    2.154948
   0.551020,    2.128159
   0.571429,    2.099738
   0.591837,    2.069594
   0.612245,    2.037619
   0.632653,    2.003687
   0.653061,    1.967649
   0.673469,    1.929325
   0.693878,    1.888504
   0.714286,    1.844930
   0.734694,    1.798294
   0.755102,    1.748222
   0.775510,    1.694254
   0.795918,    1.635819
   0.816327,    1.572202
   0.836735,    1.502491
   0.857143,    1.425500
   0.877551,    1.339643
   0.897959,    1.242719
   0.918367,    1.131489
   0.938776,    1.000754
   0.959184,    0.840899
   0.979592,    0.628831
   1.000000,    0.000000
