alpha body, CM
  -4.000000,   -0.292302
  -3.172414,   -0.273665
  -2.344828,   -0.254487
  -1.517241,   -0.234768
  -0.689655,   -0.214522
   0.137931,   -0.193308
   0.965517,   -0.172063
   1.793103,   -0.150307
   2.620690,   -0.128049
   3.448276,   -0.105300
   4.275862,   -0.082063
   5.103448,   -0.058351
   5.931034,   -0.034170
   6.758621,   -0.009532
   7.586207,    0.015557
   8.413793,    0.041089
   9.241379,    0.067053
  10.068966,    0.093443
  10.896552,    0.120249
  11.724138,    0.147459
  12.551724,    0.175067
  13.379310,    0.203062
  14.206897,    0.231465
  15.034483,    0.259755
  15.862069,    0.286322
  16.689655,    0.309831
  17.517241,    0.329431
  18.344828,    0.344791
  19.172414,    0.356133
  20.000000,    0.364265
