alpha body, Epsilon
  -4.000000,   -0.127031
  -3.517241,    0.025762
  -3.034483,    0.219713
  -2.551724,    0.414757
  -2.068966,    0.610974
  -1.586207,    0.808219
  -1.103448,    1.006476
  -0.620690,    1.205725
  -0.137931,    1.405954
   0.344828,    1.607267
   0.827586,    1.809516
   1.310345,    2.012683
   1.793103,    2.216750
   2.275862,    2.421699
   2.758621,    2.627620
   3.241379,    2.834397
   3.724138,    3.042001
   4.206897,    3.250414
   4.689655,    3.459621
   5.172414,    3.669684
   5.655172,    3.878863
   6.137931,    4.078814
   6.620690,    4.271426
   7.103448,    4.462959
   7.586207,    4.653026
   8.068966,    4.787995
