alpha body, Epsilon
  -4.000000,   -0.166598
  -3.517241,    0.025505
  -3.034483,    0.217608
  -2.551724,    0.409710
  -2.068966,    0.601813
  -1.586207,    0.793916
  -1.103448,    0.986018
  -0.620690,    1.178121
  -0.137931,    1.370223
   0.344828,    1.562326
   0.827586,    1.754429
   1.310345,    1.946531
   1.793103,    2.138634
   2.275862,    2.330736
   2.758621,    2.522839
   3.241379,    2.714942
   3.724138,    2.907044
   4.206897,    3.099147
   4.689655,    3.291250
   5.172414,    3.483352
   5.655172,    3.675455
   6.137931,    3.867557
   6.620690,    4.059660
   7.103448,    4.251763
   7.586207,    4.443865
   8.068966,    4.635968
