V (EAS), 
 113.851022,    0.000000
 113.851022,    1.000000
 121.202494,    1.133311
 128.553966,    1.274961
 135.905438,    1.424950
 143.256910,    1.583278
 150.608382,    1.749945
 157.959855,    1.924950
 165.311327,    2.108295
 172.662799,    2.299978
 180.014271,    2.500000
 285.960232,    2.756347
 357.450290,    2.500000
 357.450290,   -0.054558
 285.960232,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,    0.000000
