V (EAS), 
 114.658643,    0.000000
 114.658643,    1.000000
 122.062264,    1.133311
 129.465885,    1.274961
 136.869506,    1.424950
 144.273127,    1.583278
 151.676749,    1.749945
 159.080370,    1.924950
 166.483991,    2.108295
 173.887612,    2.299978
 181.291233,    2.500000
 285.960232,    2.500000
 357.450290,    2.500000
 357.450290,    0.000000
 285.960232,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,    0.000000
