V (EAS), 
  86.091029,    0.000000
  86.091029,    1.000000
  90.053260,    1.094165
  94.015490,    1.192567
  97.977720,    1.295206
 101.939950,    1.402081
 105.902181,    1.513192
 109.864411,    1.628539
 113.826641,    1.748123
 117.788871,    1.871943
 121.751101,    2.000000
 151.040081,    2.000000
 151.040081,    0.000000
