LTO UHC (kg), TOTAL GWP (kg)
   0.006112, 5421.326934
   0.006112, 5422.096386
   0.006112, 5421.070355
   0.006112, 5421.321579
   0.006112, 5420.573411
   0.006112, 5421.286905
   0.006112, 5421.433351
   0.006112, 5422.972485
   0.006112, 5423.084786
   0.006112, 5431.397725
   0.006112, 5421.219877
   0.006112, 5425.431343
   0.006112, 5425.454730
   0.006112, 5425.565890
   0.006112, 5420.483200
   0.006112, 5420.649429
   0.006112, 5422.769232
   0.006112, 5425.061169
   0.006112, 5423.862528
   0.006112, 5419.847970
   0.006112, 5429.948676
   0.006112, 5429.930952
   0.006112, 5425.173115
   0.006112, 5425.479233
   0.006112, 5422.258393
   0.006112, 5420.287974
   0.006112, 5429.477641
   0.006112, 5433.854960
   0.006112, 5425.606359
   0.006112, 5422.412772
   0.006112, 5428.151481
   0.006112, 5422.320165
   0.006112, 5425.483970
   0.006112, 5422.541030
   0.006112, 5417.692390
   0.006112, 5430.481931
   0.006112, 5427.003780
   0.006112, 5417.731968
   0.006112, 5426.654507
   0.006112, 5433.838442
   0.006112, 5433.729533
   0.006112, 5430.436547
   0.006112, 5427.529411
   0.006112, 5434.325756
   0.006112, 5419.046947
   0.006112, 5433.438177
   0.006112, 5431.859269
   0.006112, 5424.251086
   0.006112, 5424.795709
   0.006112, 5434.286960
   0.006112, 5417.873937
   0.006112, 5431.222874
   0.006112, 5429.874246
   0.006112, 5419.137349
   0.006112, 5417.759897
   0.006112, 5419.196559
   0.006112, 5426.443596
   0.006112, 5422.734646
   0.006112, 5426.083398
   0.006112, 5419.576204
   0.006112, 5437.197730
   0.006112, 5433.662567
   0.006112, 5421.828812
   0.006112, 5419.371039
   0.006112, 5432.186831
   0.006112, 5417.676470
   0.006112, 5437.035440
   0.006112, 5419.899170
   0.006112, 5429.864733
   0.006112, 5436.863350
   0.006112, 5423.751931
   0.006112, 5431.286110
   0.006112, 5419.600194
   0.006112, 5433.414184
   0.006112, 5427.484092
   0.006112, 5433.204567
   0.006112, 5433.698921
   0.006112, 5424.512969
   0.006112, 5431.888382
   0.006112, 5422.216758
   0.006112, 5430.890729
   0.006112, 5428.749278
   0.006112, 5433.561737
   0.006112, 5427.436247
   0.006112, 5425.121904
   0.006112, 5428.539292
   0.006112, 5436.854015
   0.006112, 5437.246004
   0.006112, 5423.314426
   0.006112, 5417.658776
   0.006112, 5424.430963
   0.006112, 5424.139056
   0.006112, 5419.307314
   0.006112, 5424.416524
   0.006112, 5423.365849
   0.006112, 5428.974670
   0.006112, 5422.226567
   0.006112, 5428.097332
   0.006112, 5437.547307
   0.006112, 5424.188772
   0.006112, 5433.549954
   0.006112, 5430.140120
   0.006112, 5423.728991
   0.006112, 5424.696074
   0.006112, 5424.066538
   0.006112, 5424.616648
   0.006112, 5419.117625
   0.006112, 5418.773984
   0.006112, 5423.942336
   0.006112, 5432.921273
   0.006112, 5417.610955
   0.006112, 5418.788357
   0.006112, 5422.053209
   0.006112, 5430.565015
   0.006112, 5424.787292
   0.006112, 5426.279851
   0.006112, 5423.861613
   0.006112, 5418.865691
   0.006112, 5430.323248
   0.006112, 5426.545655
   0.006112, 5433.228654
   0.006112, 5418.239257
   0.006112, 5440.255165
   0.006112, 5418.395953
   0.006112, 5424.070488
   0.006112, 5428.156801
   0.006112, 5417.746093
   0.006112, 5429.079827
   0.006112, 5424.832393
   0.006112, 5417.607144
   0.006112, 5433.061379
   0.006112, 5430.088008
   0.006112, 5418.387973
   0.006112, 5418.236306
   0.006112, 5418.416148
   0.006112, 5437.559208
   0.006112, 5440.632959
   0.006112, 5424.530362
   0.006112, 5432.640596
   0.006112, 5432.351179
   0.006112, 5425.944280
   0.006112, 5425.408897
   0.006112, 5438.784510
   0.006112, 5440.304053
   0.006112, 5437.870705
   0.006112, 5437.738128
