Ground Distance, Speed
   0.000000,    0.000279
   0.000001,    0.001764
   0.000008,    0.006595
   0.000085,    0.021805
   0.000543,    0.055046
   0.003035,    0.130160
   0.008605,    0.219156
   0.017027,    0.308250
   0.028368,    0.397835
   0.042545,    0.487157
   0.059724,    0.577135
   0.079970,    0.667759
   0.103103,    0.758139
   0.129491,    0.849548
   0.158826,    0.940770
   0.191095,    1.031817
   0.226678,    1.123668
   0.265799,    1.216646
   0.307931,    1.309388
   0.353373,    1.402530
   0.402443,    1.496585
   0.455538,    1.592078
   0.512453,    1.688424
   0.573216,    1.785523
   0.637873,    1.883324
   0.706223,    1.981437
   0.778401,    2.079994
   0.855089,    2.179800
   0.935289,    2.279473
   1.020031,    2.380226
   1.109395,    2.482013
   1.203550,    2.584888
   1.303199,    2.689446
   1.407188,    2.794353
   1.514678,    2.898767
   1.627005,    3.003966
   1.745700,    3.111228
   1.870521,    3.220134
   2.000834,    3.329992
   2.133768,    3.438404
   2.273696,    3.548903
   2.420510,    3.661214
   2.571663,    3.773309
   2.731894,    3.888566
   2.895533,    4.002804
   3.065821,    4.118275
   3.240139,    4.233172
   3.421501,    4.349444
   3.609797,    4.466914
   3.806069,    4.586109
   4.008971,    4.706108
   4.218648,    4.826929
   4.436204,    4.949122
   4.660889,    5.072177
   4.892956,    5.196163
   5.129459,    5.319494
   5.374645,    5.444349
   5.627893,    5.570317
   5.890608,    5.697995
   6.160723,    5.826295
   6.438773,    5.955420
   6.724886,    6.085369
   7.022169,    6.217454
   7.324638,    6.348963
   7.636490,    6.481696
   7.957718,    6.615572
   8.286979,    6.749977
   8.621683,    6.883851
   8.969777,    7.020307
   9.326003,    7.157192
   9.697506,    7.297142
  10.072618,    7.435711
  10.457639,    7.575235
  10.850334,    7.714872
  11.255033,    7.856109
  11.669350,    7.998047
  12.095084,    8.141246
  12.530679,    8.285125
  12.976238,    8.429680
  13.438790,    8.577093
  13.907145,    8.723740
  14.390212,    8.872374
  14.880089,    9.020524
  15.380551,    9.169322
  15.890951,    9.318547
  16.413626,    9.468842
  16.941474,    9.618159
  17.492912,    9.771628
  18.049814,    9.924123
  18.622370,   10.078412
  19.204568,   10.232827
  19.803849,   10.389287
  20.413755,   10.546047
  21.031570,   10.702408
  21.661013,   10.859306
  22.302960,   11.016928
  22.958545,   11.175511
  23.628370,   11.335152
  24.310903,   11.495447
  25.011444,   11.657582
  25.151941,   11.689816
  25.244034,   11.710895
  25.298016,   11.723232
  25.331131,   11.730794
  25.336123,   11.731933
  25.341706,   11.733207
  25.342762,   11.733448
  25.344595,   11.733867
  25.345117,   11.733986
  25.346042,   11.734197
  25.346385,   11.734275
  25.346706,   11.734348
  25.349603,   11.735009
  25.373300,   11.740415
  25.473118,   11.763157
  25.756008,   11.827359
  26.335332,   11.957698
  26.984387,   12.101963
  27.647984,   12.247602
  28.320925,   12.393440
  29.014078,   12.541780
  29.715630,   12.690046
  30.429133,   12.838973
  31.149998,   12.987595
  31.881400,   13.136563
  32.627384,   13.286672
  33.382127,   13.436726
  34.154394,   13.588437
  34.938206,   13.740590
  35.731106,   13.892697
  36.539000,   14.045873
  37.356124,   14.199002
  38.178072,   14.351272
  39.018910,   14.505271
  39.872719,   14.659872
  40.739745,   14.815097
  41.622054,   14.971285
  42.509123,   15.126569
  43.415510,   15.283484
  44.333504,   15.440660
  45.264490,   15.598319
  46.212208,   15.757066
  47.165610,   15.915042
  48.138151,   16.074462
  49.117998,   16.233371
  50.115250,   16.393392
  51.124475,   16.553630
  52.148655,   16.714542
  53.183272,   16.875405
  54.239034,   17.037857
  55.303378,   17.199943
  56.382353,   17.362579
  57.477169,   17.525925
  58.574483,   17.687995
  59.694759,   17.851803
  60.837406,   18.017209
  61.988398,   18.182162
  63.156071,   18.347851
  64.339061,   18.514059
  65.532160,   18.680047
  66.741814,   18.846704
  67.970516,   19.014346
  69.216061,   19.182644
  70.477910,   19.351505
  71.755337,   19.520814
  73.042509,   19.689795
  74.341551,   19.858727
  75.667354,   20.029520
  77.003418,   20.200022
  78.342644,   20.369344
  79.709884,   20.540616
  81.099533,   20.713089
  82.499030,   20.885189
  83.909217,   21.057025
  85.343321,   21.230192
  86.787946,   21.403055
  88.250783,   21.576528
  89.735056,   21.750967
  91.223066,   21.924293
  92.737523,   22.099142
  94.258092,   22.273154
  95.811012,   22.449312
  97.367374,   22.624320
  98.946308,   22.800329
 100.550367,   22.977590
 102.157216,   23.153631
 103.787647,   23.330731
 104.117795,   23.366408
 104.371482,   23.393781
 104.558574,   23.413945
 104.685758,   23.427641
 104.780914,   23.437883
 104.854139,   23.445760
 104.926580,   23.453551
 104.986336,   23.459975
 105.032408,   23.464926
 105.040490,   23.465795
 105.049596,   23.466773
 105.063736,   23.468292
 105.064668,   23.468392
 105.065346,   23.468465
 105.065758,   23.468510
 105.066053,   23.468541
 105.066240,   23.468561
 105.066426,   23.468581
 105.068280,   23.468781
 105.084581,   23.470532
 105.167418,   23.479429
 105.476980,   23.512644
 106.530458,   23.625272
 108.003205,   23.781687
 109.514056,   23.940915
 111.025431,   24.098974
 112.549878,   24.257185
 114.085887,   24.415387
 115.642192,   24.574467
 117.204949,   24.733003
 118.790106,   24.892605
 120.387749,   25.052259
 121.999894,   25.212161
 123.622366,   25.371892
 125.260489,   25.531972
 126.920135,   25.692958
 128.599179,   25.854624
 130.288736,   26.016106
 131.987252,   26.177258
 133.701326,   26.338704
 135.429733,   26.500321
 137.178381,   26.662648
 138.935489,   26.824587
 140.714111,   26.987332
 142.502035,   27.149758
 144.306939,   27.312560
 146.126567,   27.475525
 147.963002,   27.638832
 149.818335,   27.802654
 151.682443,   27.966095
 153.570817,   28.130502
 155.462407,   28.294039
 157.369084,   28.457738
 159.296143,   28.622042
 161.240515,   28.786676
 163.204593,   28.951833
 165.171094,   29.116060
 167.163577,   29.281320
 169.173025,   29.446850
 171.198185,   29.612539
 173.242093,   29.778626
 175.306428,   29.945237
 177.384017,   30.111784
 179.475199,   30.278294
 181.579313,   30.444711
 183.700674,   30.611373
 185.847484,   30.778910
 188.004616,   30.946133
 190.178461,   31.113536
 192.371337,   31.281289
 194.575604,   31.448804
 196.804972,   31.617114
 199.038238,   31.784616
 201.299108,   31.953084
 203.573504,   32.121457
 205.860577,   32.289672
 208.177869,   32.459006
 210.512853,   32.628529
 212.861510,   32.797946
 215.228214,   32.967567
 217.610951,   33.137244
 220.009537,   33.306958
 222.421567,   33.476539
 224.847668,   33.646029
 227.300555,   33.816308
 229.762977,   33.986170
 232.238070,   34.155836
 234.734186,   34.325874
 237.248478,   34.496081
 239.780101,   34.666394
 242.328431,   34.836768
 244.888867,   35.006894
 247.472358,   35.177494
 247.576573,   35.184353
 247.663087,   35.190047
 247.744089,   35.195376
 247.823179,   35.200579
 247.841340,   35.201773
 247.845672,   35.202058
 247.854268,   35.202624
 247.856560,   35.202774
 247.857053,   35.202807
 247.857357,   35.202827
 247.857670,   35.202848
 247.860805,   35.203054
 247.890870,   35.205031
 248.052201,   35.215639
 248.733079,   35.260360
 250.519037,   35.377304
 252.826695,   35.527638
 255.123957,   35.676444
 257.438960,   35.825552
 259.767134,   35.974664
 262.115750,   36.124237
 264.473375,   36.273541
 266.841262,   36.422654
 269.217778,   36.571477
 271.620188,   36.721082
 274.029603,   36.870290
 276.454934,   37.019649
 278.899772,   37.169376
 281.362607,   37.319369
 283.834668,   37.469091
 286.318271,   37.618685
 288.816223,   37.768316
 291.332805,   37.918236
 293.861066,   38.068027
 296.401973,   38.217745
 298.959004,   38.367592
 301.528724,   38.517365
 304.123014,   38.667747
 306.726655,   38.817853
 309.349425,   38.968241
 311.980440,   39.118288
 314.624537,   39.268269
 317.290111,   39.418654
 319.964296,   39.568715
 322.656444,   39.718975
 325.361839,   39.869167
 328.082547,   40.019404
 330.818119,   40.169656
 333.564005,   40.319674
 336.329382,   40.469957
 339.106092,   40.620056
 341.902517,   40.770423
 344.717459,   40.920987
 347.541434,   41.071237
 350.384424,   41.221705
 353.242031,   41.372153
 356.121833,   41.522973
 359.006064,   41.673236
 361.908019,   41.823633
 364.829026,   41.974229
 367.760755,   42.124592
 370.708421,   42.274987
 373.676852,   42.425658
 376.655768,   42.576078
 379.650040,   42.726493
 382.662365,   42.877035
 385.690893,   43.027607
 388.735897,   43.178221
 391.802527,   43.329125
 394.876217,   43.479601
 397.969627,   43.630269
 401.075680,   43.780779
 404.194782,   43.931153
 407.332508,   44.081655
 410.484859,   44.232092
 413.665580,   44.383112
 416.851505,   44.533612
 420.057001,   44.684270
 423.281249,   44.835045
 426.524504,   44.985943
 429.779950,   45.136644
 433.054237,   45.287456
 436.334324,   45.437776
 439.636074,   45.588333
 442.958512,   45.739074
 446.294935,   45.889693
 449.641790,   46.040030
 453.009764,   46.190563
 456.395553,   46.341140
 459.791287,   46.491409
 463.198882,   46.641458
 466.631235,   46.791850
 467.320214,   46.821949
 469.947310,   46.936443
 469.954431,   46.936753
 469.959511,   46.936974
 469.962431,   46.937101
 469.966123,   46.937262
 470.003042,   46.938867
 470.256397,   46.949886
 471.601360,   47.008309
 474.710822,   47.142952
 478.192264,   47.292996
 481.679087,   47.442533
 485.175064,   47.591729
 488.694551,   47.741193
 492.215300,   47.889982
 495.761471,   48.039116
 499.323123,   48.188173
 502.900993,   48.337181
 506.489073,   48.485890
 510.105122,   48.635033
 513.729980,   48.783816
 517.373162,   48.932630
 521.031038,   49.081324
 524.705129,   49.229958
 528.403384,   49.378850
 532.117634,   49.527668
 535.841792,   49.676167
 539.591390,   49.824964
 543.366160,   49.974042
 547.152306,   50.122853
 550.947547,   50.271310
 554.757184,   50.419620
 558.584143,   50.567896
 562.439263,   50.716552
 566.309698,   50.865090
 570.191784,   51.013368
 574.086171,   51.161412
 578.006924,   51.309754
 581.940686,   51.457884
 585.894267,   51.606058
 589.859474,   51.753968
 593.848217,   51.902056
 597.852964,   52.050038
 601.879575,   52.198130
 605.912263,   52.345749
 609.969531,   52.493573
 614.049015,   52.641511
 618.134583,   52.788976
 622.237548,   52.936380
 626.361603,   53.083851
 630.509510,   53.231484
 634.668245,   53.378814
 638.836454,   53.525795
 643.021900,   53.672700
 647.232030,   53.819788
 651.457517,   53.966730
 655.708116,   54.113863
 659.976685,   54.260934
 664.261985,   54.407901
 668.565343,   54.554807
 672.875125,   54.701255
 677.203973,   54.847677
 681.561447,   54.994390
 683.459948,   55.058101
 685.922373,   55.140547
 690.315840,   55.287152
 694.723863,   55.433625
 699.154493,   55.580232
 703.600140,   55.726718
 708.077360,   55.873614
 712.560391,   56.020040
 717.069141,   56.166646
 721.595615,   56.313169
 726.138517,   56.459566
 730.707678,   56.606111
 735.282321,   56.752132
 739.883183,   56.898292
 744.486140,   57.043824
 749.125145,   57.189786
 753.777967,   57.335446
 758.442259,   57.480733
 763.117370,   57.625627
 767.810693,   57.770359
 772.512142,   57.914591
 777.236063,   58.058749
 781.968472,   58.202406
 786.712022,   58.345645
 791.467584,   58.488494
 796.231453,   58.630806
 797.184745,   58.659175
 797.384141,   58.665104
 797.586763,   58.671128
 797.590886,   58.671250
 797.594509,   58.671358
 797.595369,   58.671384
 797.596183,   58.671408
 797.604323,   58.671650
 797.680764,   58.673922
 798.185434,   58.688918
 800.524700,   58.758330
 805.496324,   58.905283
 810.489053,   59.052023
 815.489611,   59.198161
 815.822494,   59.207722
 816.155094,   59.217267
 816.488498,   59.226825
 816.821238,   59.236355
 817.152915,   59.245846
 817.486897,   59.255393
 817.819822,   59.264901
 818.154690,   59.274455
 818.489782,   59.284005
 818.823765,   59.293515
 819.159332,   59.303060
 819.494957,   59.312597
 819.830930,   59.322135
 820.165793,   59.331631
 820.501322,   59.341136
 820.838428,   59.350676
 821.175353,   59.360200
 821.511471,   59.369692
 821.847791,   59.379180
 822.185143,   59.388686
 822.523261,   59.398204
 822.861778,   59.407723
 823.199501,   59.417209
 823.538015,   59.426706
 823.876904,   59.436204
 824.215354,   59.445679
 824.554252,   59.455156
 824.894433,   59.464658
 825.234704,   59.474151
 825.575795,   59.483657
 825.917637,   59.493172
 826.258876,   59.502660
 826.599645,   59.512123
 826.941924,   59.521617
 827.285299,   59.531131
 827.625969,   59.540558
 827.968027,   59.550012
 828.311022,   59.559480
 828.655581,   59.568981
 829.000011,   59.578465
 829.344677,   59.587945
 829.690497,   59.597445
 830.036541,   59.606939
 830.381978,   59.616404
 830.727321,   59.625854
 831.073691,   59.635321
 831.420584,   59.644790
 831.769027,   59.654288
 832.116576,   59.663750
 832.463283,   59.673177
 832.811554,   59.682634
 833.161545,   59.692124
 833.512081,   59.701617
 833.860121,   59.711030
 834.210056,   59.720480
 834.560692,   59.729937
 834.911900,   59.739396
 835.264301,   59.748875
 835.617155,   59.758352
 835.969969,   59.767815
 836.322503,   59.777256
 836.674459,   59.786669
 837.027191,   59.796090
 837.381240,   59.805531
 837.735552,   59.814967
 838.090234,   59.824401
 838.444227,   59.833805
 838.799299,   59.843228
 839.155272,   59.852663
 839.510936,   59.862079
 839.866864,   59.871491
 840.225301,   59.880958
 840.580829,   59.890337
 840.939064,   59.899776
 841.297818,   59.909217
 841.657427,   59.918670
 842.016502,   59.928097
 842.377600,   59.937566
 842.738339,   59.947014
 843.097316,   59.956404
 843.457194,   59.965807
 843.818350,   59.975231
 844.179837,   59.984653
 844.541794,   59.994075
 844.905714,   60.003536
 845.269086,   60.012972
 845.632245,   60.022390
 845.996146,   60.031816
 846.359986,   60.041228
 846.725458,   60.050671
 847.090823,   60.060099
 847.456069,   60.069512
 847.822057,   60.078932
 848.186654,   60.088304
 848.553558,   60.097724
 848.920366,   60.107129
 849.288769,   60.116563
 849.657624,   60.125997
 850.025664,   60.135397
 850.394846,   60.144814
 850.764562,   60.154233
 851.134283,   60.163639
 851.504588,   60.173048
 851.874667,   60.182439
 852.245353,   60.191833
 852.617956,   60.201263
 852.990621,   60.210682
 853.364384,   60.220116
 853.737415,   60.229519
 854.109816,   60.238894
 854.484953,   60.248324
 854.859613,   60.257730
 855.232812,   60.267087
 855.610154,   60.276535
 855.987506,   60.285970
 856.365445,   60.295406
 856.744425,   60.304856
 857.123166,   60.314286
 857.501044,   60.323682
 857.879099,   60.333069
 858.259561,   60.342503
 858.639528,   60.351912
 859.019503,   60.361307
 859.398980,   60.370677
 859.780769,   60.380091
 860.164566,   60.389540
 860.547572,   60.398957
 860.931298,   60.408378
 861.316361,   60.417818
 861.701410,   60.427244
 862.087440,   60.436681
 862.472182,   60.446072
 862.858164,   60.455480
 863.244074,   60.464872
 863.628245,   60.474208
 864.015436,   60.483604
 864.404962,   60.493043
 864.793774,   60.502450
 865.184145,   60.511881
 865.576484,   60.521345
 865.968260,   60.530781
 866.360133,   60.540206
 866.752526,   60.549628
 867.147066,   60.559088
 867.540736,   60.568513
