V (EAS), 
 160.527837,    0.000000
 160.527837,    1.000000
 170.893277,    1.133311
 181.258717,    1.274961
 191.624157,    1.424950
 201.989597,    1.583278
 212.355036,    1.749945
 222.720476,    1.924950
 233.085916,    2.108295
 243.451356,    2.299978
 253.816796,    2.500000
 447.383948,    2.500000
 559.229935,    2.500000
 559.229935,    0.000000
 447.383948,   -1.000000
 196.605645,   -1.000000
 196.605645,   -1.000000
 196.605645,   -1.000000
 196.605645,   -1.000000
 196.605645,   -1.000000
 196.605645,   -1.000000
 196.605645,   -1.000000
 196.605645,   -1.000000
 196.605645,   -1.000000
 196.605645,   -1.000000
 196.605645,   -1.000000
 196.605645,    0.000000
