CLe, Neutral Point
  -0.117261,    0.321435
  -0.061361,    0.288538
  -0.005411,    0.253382
   0.050590,    0.248812
   0.106640,    0.244247
   0.162742,    0.239744
   0.218895,    0.235225
   0.275099,    0.230681
   0.331355,    0.222364
   0.387767,    0.217982
   0.444120,    0.217396
   0.500525,    0.212880
   0.556982,    0.208359
   0.613493,    0.203751
   0.670058,    0.199140
   0.726676,    0.194634
   0.783350,    0.190146
   0.840078,    0.185683
   0.896862,    0.181176
   0.953702,    0.177954
   1.010598,    0.182363
   1.067550,    0.191666
   1.124559,    0.194809
   1.181626,    0.193515
   1.238750,    0.238208
   1.289143,    0.283383
