CLe, Neutral Point
  -0.127282,    0.295495
  -0.066638,    0.267505
  -0.005938,    0.237558
   0.054821,    0.233612
   0.115635,    0.229694
   0.176506,    0.225850
   0.237433,    0.222016
   0.298417,    0.218182
   0.359458,    0.211180
   0.420668,    0.207525
   0.481813,    0.207099
   0.543013,    0.203371
   0.604270,    0.199657
   0.665583,    0.195889
   0.726952,    0.192138
   0.788378,    0.188494
   0.849860,    0.184883
   0.911399,    0.181312
   0.972995,    0.177720
   1.034648,    0.175237
   1.096358,    0.179260
   1.158125,    0.187461
   1.219948,    0.190442
   1.281829,    0.189665
   1.343767,    0.227014
   1.398402,    0.264608
