Ground Distance, 
   0.000000,   68.425587
 234.913206,   68.425587
 247.340243,   67.548335
 259.767279,   66.671084
 272.194315,   65.793833
 284.621351,   64.916582
 297.048387,   64.039331
 309.475423,   63.162080
 321.902459,   62.284829
 334.329495,   61.407578
 346.756531,   60.530327
 347.614580,   60.518165
 356.185595,   60.396726
 416.157218,   59.549127
 428.050267,   59.381470
 439.909846,   59.214424
 451.736077,   59.047986
 463.529081,   58.882152
 465.883705,   58.849058
 466.100999,   58.846004
 466.111317,   58.845859
 466.120299,   58.845733
 466.121990,   58.845709
 466.122951,   58.845681
 466.123831,   58.845654
 466.132626,   58.845388
 466.220570,   58.842726
 467.099798,   58.816092
 475.870135,   58.548890
 533.510716,   56.720498
 589.287516,   54.821269
 643.129559,   52.850966
 694.965767,   50.809630
 744.725247,   48.697589
 792.337589,   46.515488
 837.733188,   44.264295
 880.843583,   41.945326
 921.601801,   39.560250
 959.942720,   37.111100
 995.803439,   34.600279
1029.123642,   32.030562
1059.845976,   29.405094
1087.916411,   26.727379
1113.284601,   24.001275
1135.904225,   21.230972
1155.733311,   18.420976
1172.734540,   15.576079
1186.875517,   12.701334
1198.129015,    9.802017
1206.473181,    6.883595
1211.891706,    3.951680
1214.373949,    1.011991
1214.548012,   -0.000000
