Ground Roll distance, Load Factor
 333.599216,    0.725073
 341.173269,    0.721171
 378.361535,    0.702218
 391.351554,    0.695678
 404.461312,    0.689117
 414.669580,    0.684036
 424.840167,    0.678998
 434.973250,    0.674003
 435.377796,    0.673804
 435.539597,    0.673724
 435.618581,    0.673685
 435.776541,    0.673607
 435.800581,    0.673596
 435.820764,    0.673586
 435.830987,    0.673581
 435.837411,    0.673578
 435.842184,    0.673575
 435.846535,    0.673573
 435.847735,    0.673572
 435.848125,    0.673572
 435.848490,    0.673572
 435.852142,    0.673566
 435.888661,    0.673508
 436.253765,    0.672930
 439.896141,    0.667123
 474.079648,    0.609070
 506.457277,    0.547447
 535.590544,    0.485509
 561.525004,    0.424299
 584.422842,    0.364691
 604.478252,    0.307485
 621.895331,    0.253406
 626.083481,    0.239718
 626.899853,    0.237017
 627.926491,    0.233606
 637.776572,    0.200007
 641.855456,    0.185612
 644.365100,    0.176608
 645.278639,    0.173302
 646.207206,    0.169925
 654.981888,    0.137178
 657.938376,    0.125786
 659.968357,    0.117853
 662.299595,    0.108628
 662.980290,    0.105910
 663.299351,    0.104632
 663.634499,    0.103288
 666.866018,    0.090195
 675.194262,    0.055295
 681.566070,    0.027315
 681.765985,    0.026416
 682.036726,    0.025197
 682.275012,    0.024122
 684.370001,    0.014564
 687.071081,    0.001913
 687.332965,    0.000658
 687.425541,    0.000212
 687.464909,    0.000022
 687.467710,    0.000008
 687.468830,    0.000003
 687.469235,    0.000001
 687.469341,    0.000000
 687.469347,    0.000000
