CL_e, delta_e_eq
  -0.109881,    0.622851
  -0.028559,   -0.125086
   0.052896,   -0.803804
   0.134483,   -1.467223
   0.216205,   -2.117789
   0.298177,   -2.744837
   0.380161,   -3.366661
   0.462285,   -3.973171
   0.544548,   -4.564455
   0.626954,   -5.142773
   0.709505,   -5.712698
   0.792203,   -6.282250
   0.875049,   -6.869070
   0.958045,   -7.448687
   1.041194,   -8.021070
   1.122728,   -8.607873
   1.189293,   -9.238100
   1.230668,   -9.939690
   1.248509,  -10.757918
   1.256454,  -11.736172
   1.280188,  -13.123615
   1.357524,  -14.685396
   1.538497,  -23.049367
   1.885442,  -25.000000
