CL_e, delta_e_eq
  -0.119284,   -0.131450
  -0.031054,   -0.325291
   0.057325,   -0.448510
   0.145852,   -0.555195
   0.234526,   -0.645526
   0.323473,   -0.709686
   0.412431,   -0.768719
   0.501536,   -0.811878
   0.590787,   -0.839395
   0.680185,   -0.851340
   0.769731,   -0.847805
   0.859426,   -0.843791
   0.949268,   -0.856684
   1.039259,   -0.862656
   1.129400,   -0.861794
   1.217773,   -0.868781
   1.289894,   -0.997044
   1.334678,   -1.362650
   1.353913,   -1.997863
   1.362375,   -2.839849
   1.387882,   -3.723883
   1.471368,   -4.383939
   1.666959,   -4.447754
   2.042038,   -3.438951
   2.677285,   -0.770965
